zero None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-zero-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 0.0, 'tolerance': 1e-10, 'elapsed_seconds': 2.005328291998012, 'peak_rss_bytes': 205881344, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
constant None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-constant-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 3.868202965630968e-17, 'tolerance': 1e-10, 'elapsed_seconds': 1.9937679579961696, 'peak_rss_bytes': 341196800, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
impulse_0 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-impulse_0-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 0.0, 'tolerance': 1e-10, 'elapsed_seconds': 1.9994531250049477, 'peak_rss_bytes': 341196800, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
impulse_1 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-impulse_1-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 6.358389842764975e-16, 'tolerance': 1e-10, 'elapsed_seconds': 2.0101248749997467, 'peak_rss_bytes': 341737472, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
impulse_10922 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-impulse_10922-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 1.1957467920563627e-15, 'tolerance': 1e-10, 'elapsed_seconds': 2.0129691660040407, 'peak_rss_bytes': 341737472, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
impulse_32767 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-impulse_32767-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 2.001483021243358e-15, 'tolerance': 1e-10, 'elapsed_seconds': 1.986505583001417, 'peak_rss_bytes': 341737472, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
mode_1 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-mode_1-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 3.788241197118999e-17, 'tolerance': 1e-10, 'elapsed_seconds': 2.0001865419981186, 'peak_rss_bytes': 351780864, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
mode_8192 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-mode_8192-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 3.593275657312142e-17, 'tolerance': 1e-10, 'elapsed_seconds': 2.017119249998359, 'peak_rss_bytes': 487063552, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
mode_32767 None {'requirement': 'Q3', 'test_id': 'A-Q3-32768-mode_32767-None', 'status': 'PASS', 'input_size': 32768, 'seed': None, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 8.183021794422885e-16, 'tolerance': 1e-10, 'elapsed_seconds': 2.006624333000218, 'peak_rss_bytes': 487079936, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
random 101 {'requirement': 'Q3', 'test_id': 'A-Q3-32768-random-101', 'status': 'PASS', 'input_size': 32768, 'seed': 101, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 9.112597907303513e-16, 'tolerance': 1e-10, 'elapsed_seconds': 2.008781666998402, 'peak_rss_bytes': 489816064, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
random 202 {'requirement': 'Q3', 'test_id': 'A-Q3-32768-random-202', 'status': 'PASS', 'input_size': 32768, 'seed': 202, 'comparison': 'numerical vs numpy.fft.fft', 'normalized_max_error': 6.528431572915823e-16, 'tolerance': 1e-10, 'elapsed_seconds': 1.989115791999211, 'peak_rss_bytes': 489816064, 'resource_outcome': 'within limits', 'command': 'python -m oxparc_challenge.fourier_validation 32768 evidence', 'exit_code': 0}
