index,x0,x1,x2,x3,x4,g0,g1,g2,g3,g4,g5,g6,output
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,1,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,0,1,0,0,1,1,0,0,0,0,0,0
6,0,1,1,0,0,0,0,0,0,0,1,0,0
7,1,1,1,0,0,1,1,0,1,0,1,1,1
8,0,0,0,1,0,0,0,0,0,0,0,0,0
9,1,0,0,1,0,0,1,0,0,0,0,0,0
10,0,1,0,1,0,0,0,1,1,0,0,0,0
11,1,1,0,1,0,0,1,1,1,0,0,1,1
12,0,0,1,1,0,0,0,0,0,1,1,0,0
13,1,0,1,1,0,1,1,0,0,1,1,1,1
14,0,1,1,1,0,0,0,1,1,1,1,1,1
15,1,1,1,1,0,1,1,1,1,1,1,1,1
16,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,1,1,1,0,0,0,0,0,0
18,0,1,0,0,1,0,0,1,1,0,0,0,0
19,1,1,0,0,1,1,1,1,1,0,0,1,1
20,0,0,1,0,1,1,0,0,0,1,1,0,0
21,1,0,1,0,1,1,1,0,0,1,1,1,1
22,0,1,1,0,1,1,0,1,1,1,1,1,1
23,1,1,1,0,1,1,1,1,1,1,1,1,1
24,0,0,0,1,1,0,0,1,0,1,0,0,0
25,1,0,0,1,1,1,1,1,1,1,0,1,1
26,0,1,0,1,1,0,0,1,1,1,1,1,1
27,1,1,0,1,1,1,1,1,1,1,1,1,1
28,0,0,1,1,1,1,1,1,0,1,1,1,1
29,1,0,1,1,1,1,1,1,1,1,1,1,1
30,0,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1
