Stratum,Level,Metric,n_rows,n_networks,prevalence,AUC,AUC_CI95_lo,AUC_CI95_hi,AP,AP_CI95_lo,AP_CI95_hi
Organism_Group,Mammal,ΔD,232,7,0.0603448275862069,0.43709043250327656,0.2533956010105717,0.5524949872554514,0.05507729935829221,0.028703294991907078,0.11469237003515191
Organism_Group,Mammal,Degree,232,7,0.0603448275862069,0.47968545216251646,0.24019607843137258,0.6270935960591133,0.07081895004262122,0.03696713830680987,0.1371651632010346
Organism_Group,Mammal,Betweenness,232,7,0.0603448275862069,0.3926933158584535,0.1952702702702703,0.6155999874190962,0.06199098406983722,0.028994600526173933,0.15385390452521555
Organism_Group,Unknown,ΔD,355,10,0.022535211267605635,0.6948847262247839,0.5420362262952545,0.7870107370808335,0.03844092404329785,0.018297089467832223,0.10657692855283878
Organism_Group,Unknown,Degree,355,10,0.022535211267605635,0.6471541786743515,0.4033248782467532,0.9272201956189867,0.04083996700707829,0.029926747241255103,0.1679583333333333
Organism_Group,Unknown,Betweenness,355,10,0.022535211267605635,0.7516210374639769,0.536471295348466,0.8257379791804361,0.05506288904197283,0.013566538654199364,0.15088245368825104
Size_Bin,11-30,ΔD,112,6,0.07142857142857142,0.3629807692307692,0.13461538461538464,0.5636363636363636,0.0592083767372122,0.022305253623188408,0.12201153673885541
Size_Bin,11-30,Degree,112,6,0.07142857142857142,0.48677884615384615,0.159375,0.7978395061728395,0.08642141059020855,0.02050849885408709,0.2067659014366446
Size_Bin,11-30,Betweenness,112,6,0.07142857142857142,0.45913461538461536,0.265625,0.6855345911949685,0.08033136668972582,0.02265706686734589,0.18703183366427958
Size_Bin,31-60,ΔD,259,6,0.03088803088803089,0.6374501992031874,0.4721311475409836,0.8448598130841122,0.04990970687186773,0.021989391359055508,0.11739595251312485
Size_Bin,31-60,Degree,259,6,0.03088803088803089,0.6182768924302788,0.27697841726618705,0.8988392857142855,0.06515254027699265,0.025423728813559324,0.1459783111214657
Size_Bin,31-60,Betweenness,259,6,0.03088803088803089,0.49203187250996017,0.1828125,0.8301587301587302,0.03881629148968454,0.01456340271877655,0.14458898616560578
Size_Bin,5-10,ΔD,41,5,0.0975609756097561,0.3108108108108108,0.09756097560975607,0.6216216216216216,0.0856743700221961,0.027777777777777776,0.3294820830096234
Size_Bin,5-10,Degree,41,5,0.0975609756097561,0.5236486486486487,0.3995726495726496,0.8181818181818181,0.11634920634920634,0.08363636363636363,0.2956707317073171
Size_Bin,5-10,Betweenness,41,5,0.0975609756097561,0.5709459459459459,0.3783783783783784,0.6965811965811965,0.13173199881959474,0.043478260869565216,0.25887445887445887
Size_Bin,61-100,ΔD,230,3,0.017391304347826087,0.4690265486725664,0.14666666666666667,0.7846153846153846,0.024303519975570398,0.020767967664519393,0.06666666666666667
Size_Bin,61-100,Degree,230,3,0.017391304347826087,0.5082964601769911,0.14666666666666667,0.9,0.02929131054131054,0.024666666666666667,0.1111111111111111
Size_Bin,61-100,Betweenness,230,3,0.017391304347826087,0.44579646017699115,0.19333333333333336,0.8153846153846154,0.018776902110235444,0.016065887634515087,0.07692307692307693
Source,Literature,ΔD,15,2,0.2,0.4166666666666667,0.4166666666666667,0.7142857142857142,0.2126022126022126,0.2126022126022126,0.5
Source,Literature,Degree,15,2,0.2,0.6388888888888888,0.6388888888888888,0.7857142857142857,0.29914529914529914,0.29914529914529914,0.5555555555555556
Source,Literature,Betweenness,15,2,0.2,0.4027777777777778,0.35714285714285715,0.4027777777777778,0.21060606060606063,0.21060606060606063,0.3055555555555556
Source,published,ΔD,590,16,0.030508474576271188,0.5047591297591297,0.3772198479750183,0.6251727656468297,0.030838731223685786,0.0188074975372402,0.05339789359114473
Source,published,Degree,590,16,0.030508474576271188,0.4920843045843046,0.31990834121013584,0.6801141757333526,0.03720577906002834,0.02404112029649358,0.0733251730572062
Source,published,Betweenness,590,16,0.030508474576271188,0.42458236208236205,0.2831950388145285,0.5953342903172504,0.029327646386519017,0.01610303214725878,0.0620208058372003
