Network,n_nodes,n_edges,seed_base,n_random,n_swaps_mult,sort_by_degree,tie_breaker,D_bio,D_random_mean,z_score,p_value,fold_reduction,axis,mean_D_sort_by_degree_true,rel_sd_D_sort_by_degree_true,rel_range_D_sort_by_degree_true,rel_range_D_sort_by_degree_false,model,seed,n_rows,n_networks,auc,ap,brier
MODEL1305240000,30.0,33.0,42.0,50.0,20.0,True,index,100.0,94.9,-2.0531826896826084,1.0,0.9490000000000001,baseline,,,,,,,,,,,
MODEL1407230001,14.0,33.0,42.0,50.0,20.0,True,index,81.0,81.64,0.2101990443519236,0.5,1.0079012345679013,baseline,,,,,,,,,,,
MODEL1411170000,10.0,15.0,42.0,50.0,20.0,True,index,46.0,50.54,1.499370896099886,0.08,1.098695652173913,baseline,,,,,,,,,,,
MODEL1411170001,18.0,68.0,42.0,50.0,20.0,True,index,104.0,106.8,0.8366600265340747,0.24,1.0269230769230768,baseline,,,,,,,,,,,
MODEL1411240000,28.0,30.0,42.0,50.0,20.0,True,index,90.0,88.5,-0.45206158100918414,0.72,0.9833333333333333,baseline,,,,,,,,,,,
MODEL1504170000,9.0,13.0,42.0,50.0,20.0,True,index,46.0,48.14,0.8158436352393947,0.34,1.046521739130435,baseline,,,,,,,,,,,
MODEL1504170001,9.0,15.0,42.0,50.0,20.0,True,index,51.0,52.42,0.5611464844186873,0.32,1.027843137254902,baseline,,,,,,,,,,,
MODEL1504170002,10.0,16.0,42.0,50.0,20.0,True,index,54.0,55.56,0.6917024963842822,0.3,1.028888888888889,baseline,,,,,,,,,,,
MODEL1504170003,10.0,14.0,42.0,50.0,20.0,True,index,47.0,52.58,3.0245790624667475,0.0,1.1187234042553191,baseline,,,,,,,,,,,
MODEL1506260000,82.0,118.0,42.0,50.0,20.0,True,index,263.0,271.78,1.8038371215569515,0.04,1.0333840304182509,baseline,,,,,,,,,,,
MODEL1506260002,45.0,94.0,42.0,50.0,20.0,True,index,151.0,186.36,8.00532871570443,0.0,1.2341721854304637,baseline,,,,,,,,,,,
MODEL1606020000,19.0,55.0,42.0,50.0,20.0,True,index,101.0,101.44,0.12635334150137453,0.5,1.0043564356435644,baseline,,,,,,,,,,,
MODEL1607310000,48.0,76.0,42.0,50.0,20.0,True,index,169.0,172.02,0.6650691834379742,0.3,1.0178698224852072,baseline,,,,,,,,,,,
MODEL1610060000,31.0,107.0,42.0,50.0,20.0,True,index,174.0,178.34,1.0695886240004804,0.16,1.0249425287356322,baseline,,,,,,,,,,,
MODEL1610060001,29.0,121.0,42.0,50.0,20.0,True,index,178.0,182.1,1.061094229793472,0.12,1.0230337078651686,baseline,,,,,,,,,,,
MODEL1611180000,26.0,66.0,42.0,50.0,20.0,True,index,130.0,134.28,1.0555327917709132,0.22,1.0329230769230768,baseline,,,,,,,,,,,
MODEL1611230001,11.0,37.0,42.0,50.0,20.0,True,index,74.0,72.6,-0.4556611884328854,0.78,0.981081081081081,baseline,,,,,,,,,,,
arabidopsis_cc,7.0,10.0,42.0,50.0,20.0,True,index,38.0,43.5,2.9440825016470407,0.0,1.144736842105263,baseline,,,,,,,,,,,
biomodels_MODEL1610240000,33.0,82.0,42.0,50.0,20.0,True,index,156.0,161.52,1.6035674514745495,0.04,1.0353846153846153,baseline,,,,,,,,,,,
biomodels_MODEL1712240002,16.0,12.0,42.0,50.0,20.0,True,index,40.0,40.0,0.0,1.0,1.0,baseline,,,,,,,,,,,
biomodels_MODEL1712240003,9.0,8.0,42.0,50.0,20.0,True,index,31.0,31.0,0.0,1.0,1.0,baseline,,,,,,,,,,,
biomodels_MODEL2002170001,56.0,175.0,42.0,50.0,20.0,True,index,292.0,296.3,0.6612255294199418,0.28,1.0147260273972603,baseline,,,,,,,,,,,
biomodels_MODEL2002190001,31.0,38.0,42.0,50.0,20.0,True,index,112.0,109.02,-0.9214223151995642,0.82,0.9733928571428571,baseline,,,,,,,,,,,
biomodels_MODEL2004040001,51.0,114.0,42.0,50.0,20.0,True,index,221.0,224.48,0.6298232474206197,0.34,1.0157466063348415,baseline,,,,,,,,,,,
biomodels_MODEL2006170002,87.0,357.0,42.0,50.0,20.0,True,index,563.0,591.14,3.494630399040776,0.0,1.0499822380106572,baseline,,,,,,,,,,,
biomodels_MODEL2101150001,82.0,176.0,42.0,50.0,20.0,True,index,360.0,352.24,-1.3520230729613316,0.94,0.9784444444444444,baseline,,,,,,,,,,,
biomodels_MODEL2304070002,46.0,194.0,42.0,50.0,20.0,True,index,281.0,295.38,3.033215306424088,0.0,1.0511743772241993,baseline,,,,,,,,,,,
biomodels_MODEL2308300001,87.0,235.0,42.0,50.0,20.0,True,index,436.0,435.84,-0.021762283174785374,0.52,0.9996330275229357,baseline,,,,,,,,,,,
drosophila_sp,13.0,16.0,42.0,50.0,20.0,True,index,57.0,60.22,1.3997883277883272,0.1,1.0564912280701755,baseline,,,,,,,,,,,
egfr_signaling,10.0,11.0,42.0,50.0,20.0,True,index,52.0,49.0,-1.5638581054280607,1.0,0.9423076923076923,baseline,,,,,,,,,,,
MODEL1305240000,30.0,33.0,42.0,50.0,20.0,True,index,100.0,94.9,-2.0531826896826084,1.0,0.9490000000000001,seed,,,,,,,,,,,
MODEL1407230001,14.0,33.0,42.0,50.0,20.0,True,index,81.0,81.64,0.2101990443519236,0.5,1.0079012345679013,seed,,,,,,,,,,,
MODEL1411170000,10.0,15.0,42.0,50.0,20.0,True,index,46.0,50.54,1.499370896099886,0.08,1.098695652173913,seed,,,,,,,,,,,
MODEL1411170001,18.0,68.0,42.0,50.0,20.0,True,index,104.0,106.8,0.8366600265340747,0.24,1.0269230769230768,seed,,,,,,,,,,,
MODEL1411240000,28.0,30.0,42.0,50.0,20.0,True,index,90.0,88.5,-0.45206158100918414,0.72,0.9833333333333333,seed,,,,,,,,,,,
MODEL1504170000,9.0,13.0,42.0,50.0,20.0,True,index,46.0,48.14,0.8158436352393947,0.34,1.046521739130435,seed,,,,,,,,,,,
MODEL1504170001,9.0,15.0,42.0,50.0,20.0,True,index,51.0,52.42,0.5611464844186873,0.32,1.027843137254902,seed,,,,,,,,,,,
MODEL1504170002,10.0,16.0,42.0,50.0,20.0,True,index,54.0,55.56,0.6917024963842822,0.3,1.028888888888889,seed,,,,,,,,,,,
MODEL1504170003,10.0,14.0,42.0,50.0,20.0,True,index,47.0,52.58,3.0245790624667475,0.0,1.1187234042553191,seed,,,,,,,,,,,
MODEL1506260000,82.0,118.0,42.0,50.0,20.0,True,index,263.0,271.78,1.8038371215569515,0.04,1.0333840304182509,seed,,,,,,,,,,,
MODEL1506260002,45.0,94.0,42.0,50.0,20.0,True,index,151.0,186.36,8.00532871570443,0.0,1.2341721854304637,seed,,,,,,,,,,,
MODEL1606020000,19.0,55.0,42.0,50.0,20.0,True,index,101.0,101.44,0.12635334150137453,0.5,1.0043564356435644,seed,,,,,,,,,,,
MODEL1607310000,48.0,76.0,42.0,50.0,20.0,True,index,169.0,172.02,0.6650691834379742,0.3,1.0178698224852072,seed,,,,,,,,,,,
MODEL1610060000,31.0,107.0,42.0,50.0,20.0,True,index,174.0,178.34,1.0695886240004804,0.16,1.0249425287356322,seed,,,,,,,,,,,
MODEL1610060001,29.0,121.0,42.0,50.0,20.0,True,index,178.0,182.1,1.061094229793472,0.12,1.0230337078651686,seed,,,,,,,,,,,
MODEL1611180000,26.0,66.0,42.0,50.0,20.0,True,index,130.0,134.28,1.0555327917709132,0.22,1.0329230769230768,seed,,,,,,,,,,,
