Network,N_genes,N_essential,AUC_DeltaD,AUC_Degree
egfr_signaling,10,3,0.7142857142857142,0.7857142857142857
ginsim_2006-mammal-cell-cycle_boolean_cell_cycle,10,1,0.4444444444444444,0.3333333333333333
ginsim_default_TCRsig40,40,2,0.868421052631579,0.9868421052631579
ginsim_2015-mammal-tumor-invasion-migration_SuppMat_Model_Master_Model,32,3,0.49425287356321834,0.45977011494252873
ginsim_2018-mammal-tcr-tlr5_RodriguezJorge_TLR5_Signalling_BooleanModel_17Jul2018,42,2,0.33749999999999997,0.125
ginsim_2015-mammal-bladder-tumorigenesis,30,3,0.6790123456790124,0.8024691358024691
ginsim_default_CellCycleControl_Sizek_PCB_2019,87,1,0.7093023255813953,0.7790697674418605
ginsim_2015-mammal-cell-fate-gastric-cancer_Flobak_FullModel_S2_Dataset,77,2,0.14666666666666667,0.14666666666666667
ginsim_2010-mammal-cell-fate_Calzone__Cell_Fate,28,3,0.30666666666666664,0.42666666666666664
ginsim_2013-drosophila-notch_Notch__Pathway_12Jun2013,14,2,0.5833333333333334,0.5208333333333334
ginsim_default_ImmuneCheckpointInhibitors,66,1,0.7846153846153846,0.9
ginsim_default_T_LGL,60,1,0.8983050847457628,0.923728813559322
