base_id,family,n,kind,loss,C,V_k_C,best_D_KL_nats,best_perturbation_id,n_candidates,n_feasible,upper_bound
ring_n8_s1000,ring,8,EDGE_ADD,L_LINEAR,0.0,,,,44,0,0.50625
ring_n8_s1000,ring,8,EDGE_ADD,L_LINEAR,0.1,0.54375,0.03588378986406046,"EDGE_ADD:6,1:add",44,4,0.6137637321846914
ring_n8_s1000,ring,8,EDGE_ADD,L_LINEAR,0.25,0.54375,0.03588378986406046,"EDGE_ADD:6,1:add",44,4,0.6749410690521994
ring_n8_s1000,ring,8,EDGE_ADD,L_LINEAR,0.5,0.60546875,0.43885473340268455,"EDGE_ADD:5,2:add",44,5,0.7415066438066173
ring_n8_s1000,ring,8,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,44,0,0.031640625
ring_n8_s1000,ring,8,EDGE_ADD,L_SINGLE_TARGET,0.1,0.046875,0.02874504854380612,"EDGE_ADD:5,6:add",44,4,0.136135542007009
ring_n8_s1000,ring,8,EDGE_ADD,L_SINGLE_TARGET,0.25,0.046875,0.02874504854380612,"EDGE_ADD:5,6:add",44,4,0.21639677896886525
ring_n8_s1000,ring,8,EDGE_ADD,L_SINGLE_TARGET,0.5,0.046875,0.02874504854380612,"EDGE_ADD:5,6:add",44,5,0.32003614309366984
ring_n8_s1000,ring,8,EDGE_REMOVE,L_LINEAR,0.0,,,,10,0,0.50625
ring_n8_s1000,ring,8,EDGE_REMOVE,L_LINEAR,0.1,0.5341796875,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.6137637321846914
ring_n8_s1000,ring,8,EDGE_REMOVE,L_LINEAR,0.25,0.5341796875,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.6749410690521994
ring_n8_s1000,ring,8,EDGE_REMOVE,L_LINEAR,0.5,0.5341796875,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.7415066438066173
ring_n8_s1000,ring,8,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,10,0,0.031640625
ring_n8_s1000,ring,8,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.02587890625,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.136135542007009
ring_n8_s1000,ring,8,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.02587890625,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.21639677896886525
ring_n8_s1000,ring,8,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.02587890625,0.04813575553156408,"EDGE_REMOVE:0,3:remove",10,1,0.32003614309366984
ring_n10_s1000,ring,10,EDGE_ADD,L_LINEAR,0.0,0.7375,0.0,"EDGE_ADD:8,3:add",75,2,0.7375
ring_n10_s1000,ring,10,EDGE_ADD,L_LINEAR,0.1,0.775,0.04040110811155137,"EDGE_ADD:9,2:add",75,12,0.8111798042628435
ring_n10_s1000,ring,10,EDGE_ADD,L_LINEAR,0.25,0.796875,0.18450731249719282,"EDGE_ADD:8,4:add",75,13,0.8475019832812586
ring_n10_s1000,ring,10,EDGE_ADD,L_LINEAR,0.5,0.7992187500000001,0.2801089055683099,"EDGE_ADD:6,2:add",75,22,0.8834442488584335
ring_n10_s1000,ring,10,EDGE_ADD,L_SINGLE_TARGET,0.0,0.005859375,0.0,"EDGE_ADD:8,3:add",75,2,0.005859375
ring_n10_s1000,ring,10,EDGE_ADD,L_SINGLE_TARGET,0.1,0.005859375,0.0,"EDGE_ADD:8,3:add",75,12,0.06539545234972964
ring_n10_s1000,ring,10,EDGE_ADD,L_SINGLE_TARGET,0.25,0.005859375,0.0,"EDGE_ADD:8,3:add",75,13,0.11842240905399554
ring_n10_s1000,ring,10,EDGE_ADD,L_SINGLE_TARGET,0.5,0.005859375,0.0,"EDGE_ADD:8,3:add",75,22,0.19141339255951634
ring_n10_s1000,ring,10,EDGE_REMOVE,L_LINEAR,0.0,,,,12,0,0.7375
ring_n10_s1000,ring,10,EDGE_REMOVE,L_LINEAR,0.1,,,,12,0,0.8111798042628435
ring_n10_s1000,ring,10,EDGE_REMOVE,L_LINEAR,0.25,,,,12,0,0.8475019832812586
ring_n10_s1000,ring,10,EDGE_REMOVE,L_LINEAR,0.5,,,,12,0,0.8834442488584335
ring_n10_s1000,ring,10,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,12,0,0.005859375
ring_n10_s1000,ring,10,EDGE_REMOVE,L_SINGLE_TARGET,0.1,,,,12,0,0.06539545234972964
ring_n10_s1000,ring,10,EDGE_REMOVE,L_SINGLE_TARGET,0.25,,,,12,0,0.11842240905399554
ring_n10_s1000,ring,10,EDGE_REMOVE,L_SINGLE_TARGET,0.5,,,,12,0,0.19141339255951634
ring_n12_s1000,ring,12,EDGE_ADD,L_LINEAR,0.0,0.740234375,0.0,"EDGE_ADD:1,10:add",114,3,0.740234375
ring_n12_s1000,ring,12,EDGE_ADD,L_LINEAR,0.1,0.7884114583333333,0.06054943765319362,"EDGE_ADD:9,0:add",114,16,0.8116755265490083
ring_n12_s1000,ring,12,EDGE_ADD,L_LINEAR,0.25,0.8155314127604166,0.15599384645145786,"EDGE_ADD:10,6:add",114,22,0.8478030139403645
ring_n12_s1000,ring,12,EDGE_ADD,L_LINEAR,0.5,0.8155314127604166,0.15599384645145786,"EDGE_ADD:10,6:add",114,22,0.8823766812223637
ring_n12_s1000,ring,12,EDGE_ADD,L_SINGLE_TARGET,0.0,0.0341796875,0.0,"EDGE_ADD:1,10:add",114,3,0.0341796875
ring_n12_s1000,ring,12,EDGE_ADD,L_SINGLE_TARGET,0.1,0.0643310546875,0.07659988605101999,"EDGE_ADD:4,7:add",114,16,0.14159022565431534
ring_n12_s1000,ring,12,EDGE_ADD,L_SINGLE_TARGET,0.25,0.0643310546875,0.07659988605101999,"EDGE_ADD:4,7:add",114,22,0.2233744646450568
ring_n12_s1000,ring,12,EDGE_ADD,L_SINGLE_TARGET,0.5,0.0643310546875,0.07659988605101999,"EDGE_ADD:4,7:add",114,22,0.32876735665770856
ring_n12_s1000,ring,12,EDGE_REMOVE,L_LINEAR,0.0,,,,14,0,0.740234375
ring_n12_s1000,ring,12,EDGE_REMOVE,L_LINEAR,0.1,,,,14,0,0.8116755265490083
ring_n12_s1000,ring,12,EDGE_REMOVE,L_LINEAR,0.25,,,,14,0,0.8478030139403645
ring_n12_s1000,ring,12,EDGE_REMOVE,L_LINEAR,0.5,,,,14,0,0.8823766812223637
ring_n12_s1000,ring,12,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,14,0,0.0341796875
ring_n12_s1000,ring,12,EDGE_REMOVE,L_SINGLE_TARGET,0.1,,,,14,0,0.14159022565431534
ring_n12_s1000,ring,12,EDGE_REMOVE,L_SINGLE_TARGET,0.25,,,,14,0,0.2233744646450568
ring_n12_s1000,ring,12,EDGE_REMOVE,L_SINGLE_TARGET,0.5,,,,14,0,0.32876735665770856
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_LINEAR,0.0,0.4970703125,0.0,"EDGE_ADD:1,2:add",40,5,0.4970703125
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_LINEAR,0.1,0.5564778645833334,0.06116117455918432,"EDGE_ADD:5,1:add",40,9,0.5840367167521946
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_LINEAR,0.25,0.5564778645833334,0.06116117455918432,"EDGE_ADD:5,1:add",40,10,0.6264577777571659
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_LINEAR,0.5,0.5564778645833334,0.06116117455918432,"EDGE_ADD:5,1:add",40,10,0.6708251657261189
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_SINGLE_TARGET,0.0,0.0078125,0.0,"EDGE_ADD:1,2:add",40,5,0.0078125
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_SINGLE_TARGET,0.1,0.0078125,0.0,"EDGE_ADD:1,2:add",40,9,0.07294179730036998
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_SINGLE_TARGET,0.25,0.0078125,0.0,"EDGE_ADD:1,2:add",40,10,0.12965135570821776
sparse_random_n8_s1000,sparse_random,8,EDGE_ADD,L_SINGLE_TARGET,0.5,0.0078125,0.0,"EDGE_ADD:1,2:add",40,10,0.20684352574616935
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_LINEAR,0.0,0.4970703125,0.0,"EDGE_REMOVE:1,0:remove",14,2,0.4970703125
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_LINEAR,0.1,0.50390625,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.5840367167521946
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_LINEAR,0.25,0.50390625,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.6264577777571659
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_LINEAR,0.5,0.50390625,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.6708251657261189
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_SINGLE_TARGET,0.0,0.0078125,0.0,"EDGE_REMOVE:1,0:remove",14,2,0.0078125
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.03125,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.07294179730036998
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.03125,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.12965135570821776
sparse_random_n8_s1000,sparse_random,8,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.03125,0.02240199084928942,"EDGE_REMOVE:7,0:remove",14,3,0.20684352574616935
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_LINEAR,0.0,0.275,0.0,"EDGE_ADD:5,0:add",64,4,0.275
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_LINEAR,0.1,0.29375,0.028001386268022233,"EDGE_ADD:1,9:add",64,41,0.37495173745766147
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_LINEAR,0.25,0.29375,0.028001386268022233,"EDGE_ADD:1,9:add",64,42,0.4415671153166884
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_LINEAR,0.5,0.29375,0.028001386268022233,"EDGE_ADD:1,9:add",64,42,0.5224210537853989
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_SINGLE_TARGET,0.0,0.015625,0.0,"EDGE_ADD:5,0:add",64,4,0.015625
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_SINGLE_TARGET,0.1,0.015625,0.0,"EDGE_ADD:5,0:add",64,41,0.09742528476985614
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_SINGLE_TARGET,0.25,0.015625,0.0,"EDGE_ADD:5,0:add",64,42,0.16440672047797875
sparse_random_n10_s1000,sparse_random,10,EDGE_ADD,L_SINGLE_TARGET,0.5,0.015625,0.0,"EDGE_ADD:5,0:add",64,42,0.25359590937084747
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_LINEAR,0.0,0.275,0.0,"EDGE_REMOVE:5,4:remove",27,1,0.275
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_LINEAR,0.1,0.31562500000000004,0.02637253430071266,"EDGE_REMOVE:0,5:remove",27,11,0.37495173745766147
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_LINEAR,0.25,0.328125,0.19698485386634768,"EDGE_REMOVE:7,9:remove",27,12,0.4415671153166884
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_LINEAR,0.5,0.328125,0.19698485386634768,"EDGE_REMOVE:7,9:remove",27,12,0.5224210537853989
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_SINGLE_TARGET,0.0,0.015625,0.0,"EDGE_REMOVE:5,4:remove",27,1,0.015625
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.03125,0.007385759714544315,"EDGE_REMOVE:2,4:remove",27,11,0.09742528476985614
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.03125,0.007385759714544315,"EDGE_REMOVE:2,4:remove",27,12,0.16440672047797875
sparse_random_n10_s1000,sparse_random,10,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.03125,0.007385759714544315,"EDGE_REMOVE:2,4:remove",27,12,0.25359590937084747
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_LINEAR,0.0,0.34063042534722215,0.0,"EDGE_ADD:0,1:add",112,27,0.34063042534722215
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_LINEAR,0.1,0.40936957465277773,0.08388626908648153,"EDGE_ADD:8,2:add",112,58,0.4169125346420082
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_LINEAR,0.25,0.44864908854166663,0.24405514912269055,"EDGE_ADD:8,10:add",112,60,0.46074564519065997
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_LINEAR,0.5,0.44864908854166663,0.24405514912269055,"EDGE_ADD:8,10:add",112,60,0.5092619924168733
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_SINGLE_TARGET,0.0,0.07649739583333333,0.0,"EDGE_ADD:0,1:add",112,27,0.07649739583333333
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_SINGLE_TARGET,0.1,0.09244791666666667,0.019200161997285276,"EDGE_ADD:9,5:add",112,58,0.2194757544873085
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_SINGLE_TARGET,0.25,0.09244791666666667,0.019200161997285276,"EDGE_ADD:9,5:add",112,60,0.3201118829504007
sparse_random_n12_s1000,sparse_random,12,EDGE_ADD,L_SINGLE_TARGET,0.5,0.09244791666666667,0.019200161997285276,"EDGE_ADD:9,5:add",112,60,0.4446066669370856
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_LINEAR,0.0,0.34063042534722215,0.0,"EDGE_REMOVE:0,3:remove",17,2,0.34063042534722215
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_LINEAR,0.1,0.38286675347222215,0.03196295674911497,"EDGE_REMOVE:7,5:remove",17,7,0.4169125346420082
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_LINEAR,0.25,0.38286675347222215,0.03196295674911497,"EDGE_REMOVE:7,5:remove",17,7,0.46074564519065997
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_LINEAR,0.5,0.38286675347222215,0.03196295674911497,"EDGE_REMOVE:7,5:remove",17,9,0.5092619924168733
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_SINGLE_TARGET,0.0,0.07649739583333333,0.0,"EDGE_REMOVE:0,3:remove",17,2,0.07649739583333333
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.07649739583333333,0.0,"EDGE_REMOVE:0,3:remove",17,7,0.2194757544873085
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.07649739583333333,0.0,"EDGE_REMOVE:0,3:remove",17,7,0.3201118829504007
sparse_random_n12_s1000,sparse_random,12,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.14583333333333334,0.3731830204850826,"EDGE_REMOVE:5,10:remove",17,9,0.4446066669370856
modular_n8_s1000,modular,8,EDGE_ADD,L_LINEAR,0.0,,,,43,0,0.2581787109375
modular_n8_s1000,modular,8,EDGE_ADD,L_LINEAR,0.1,0.26953125,0.03433414901265211,"EDGE_ADD:6,1:add",43,6,0.3225932282302843
modular_n8_s1000,modular,8,EDGE_ADD,L_LINEAR,0.25,0.26953125,0.03433414901265211,"EDGE_ADD:6,1:add",43,12,0.3586215290059781
modular_n8_s1000,modular,8,EDGE_ADD,L_LINEAR,0.5,0.26953125,0.03433414901265211,"EDGE_ADD:6,1:add",43,13,0.39769297029789835
modular_n8_s1000,modular,8,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,43,0,0.0146484375
modular_n8_s1000,modular,8,EDGE_ADD,L_SINGLE_TARGET,0.1,0.029296875,0.03433414901265211,"EDGE_ADD:6,1:add",43,6,0.09472321671541695
modular_n8_s1000,modular,8,EDGE_ADD,L_SINGLE_TARGET,0.25,0.029296875,0.03433414901265211,"EDGE_ADD:6,1:add",43,12,0.16064721101144533
modular_n8_s1000,modular,8,EDGE_ADD,L_SINGLE_TARGET,0.5,0.029296875,0.03433414901265211,"EDGE_ADD:6,1:add",43,13,0.24863075664837392
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.0,,,,12,0,0.2581787109375
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.1,,,,12,0,0.3225932282302843
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.25,,,,12,0,0.3586215290059781
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.5,0.20654296875,0.4703898883866767,"EDGE_REMOVE:1,2:remove",12,1,0.39769297029789835
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,12,0,0.0146484375
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.1,,,,12,0,0.09472321671541695
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.25,,,,12,0,0.16064721101144533
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.025390625,0.4703898883866767,"EDGE_REMOVE:1,2:remove",12,1,0.24863075664837392
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.0,,,,60,0,0.396640625
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.1,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.4444291042597548
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.25,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.47294800009049437
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.5,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.5061371219559075
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,60,0,0.001953125
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.1,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.04529637427681114
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.25,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.08734030330993589
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.5,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.14685138765783393
modular_n10_s1000,modular,10,EDGE_REMOVE,L_LINEAR,0.0,,,,26,0,0.396640625
