address,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0
3,0,1,1,0,0,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,1,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0
7,0,1,1,1,0,1,0,0,0,0
8,0,0,0,0,1,0,1,0,0,0
9,0,1,0,0,1,1,1,0,0,0
10,0,0,1,0,1,0,1,0,0,0
11,0,1,1,0,1,1,1,0,0,0
12,0,0,0,0,1,0,1,0,0,0
13,0,1,0,1,1,1,1,0,0,0
14,0,0,1,0,1,0,1,0,0,0
15,0,1,1,1,1,1,1,0,0,0
16,0,0,0,0,0,1,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0
18,0,0,1,0,0,1,0,0,0,0
19,0,1,1,0,0,0,0,0,0,0
20,0,0,0,0,0,1,0,0,0,0
21,0,1,0,1,0,0,0,0,0,0
22,0,0,1,0,0,1,0,0,0,0
23,0,1,1,1,0,0,0,0,0,0
24,0,0,0,0,1,1,1,0,0,0
25,0,1,0,0,1,0,1,0,0,0
26,0,0,1,0,1,1,1,0,0,0
27,0,1,1,0,1,0,1,0,0,0
28,0,0,0,0,1,1,1,0,0,0
29,0,1,0,1,1,0,1,0,0,0
30,0,0,1,0,1,1,1,0,0,0
31,0,1,1,1,1,0,1,0,0,0
32,1,0,0,0,0,0,1,0,0,0
33,1,1,0,0,0,1,1,0,0,0
34,1,0,1,0,0,0,1,0,0,0
35,1,1,1,0,0,1,1,0,0,0
36,1,0,0,0,0,0,1,0,0,0
37,1,1,0,1,0,1,1,0,0,0
38,1,0,1,0,0,0,1,0,0,0
39,1,1,1,1,0,1,1,0,0,0
40,1,0,0,0,1,0,1,0,0,0
41,1,1,0,0,1,1,1,0,0,0
42,1,0,1,0,1,0,1,0,0,0
43,1,1,1,0,1,1,1,0,0,0
44,1,0,0,0,1,0,1,0,0,0
45,1,1,0,1,1,1,1,0,0,0
46,1,0,1,0,1,0,1,0,0,0
47,1,1,1,1,1,1,1,0,0,0
48,1,0,0,0,0,1,1,0,0,0
49,1,1,0,0,0,0,1,0,0,0
50,1,0,1,0,0,1,1,0,0,0
51,1,1,1,0,0,0,1,0,0,0
52,1,0,0,0,0,1,1,0,0,0
53,1,1,0,1,0,0,1,0,0,0
54,1,0,1,0,0,1,1,0,0,0
55,1,1,1,1,0,0,1,0,0,0
56,1,0,0,0,1,1,1,0,0,0
57,1,1,0,0,1,0,1,0,0,0
58,1,0,1,0,1,1,1,0,0,0
59,1,1,1,0,1,0,1,0,0,0
60,1,0,0,0,1,1,1,0,0,0
61,1,1,0,1,1,0,1,0,0,0
62,1,0,1,0,1,1,1,0,0,0
63,1,1,1,1,1,0,1,0,0,0
64,0,0,0,0,0,0,0,1,0,1
65,0,1,0,0,0,1,0,1,0,1
66,0,0,1,0,0,0,0,1,0,1
67,0,1,1,0,0,1,0,1,0,1
68,0,0,0,0,0,0,0,1,0,1
69,0,1,0,1,0,1,0,1,0,1
70,0,0,1,0,0,0,0,1,0,1
71,0,1,1,1,0,1,0,1,0,1
72,0,0,0,0,1,0,1,1,0,1
73,0,1,0,0,1,1,1,1,0,1
74,0,0,1,0,1,0,1,1,0,1
75,0,1,1,0,1,1,1,1,0,1
76,0,0,0,0,1,0,1,1,0,1
77,0,1,0,1,1,1,1,1,0,1
78,0,0,1,0,1,0,1,1,0,1
79,0,1,1,1,1,1,1,1,0,1
80,0,0,0,0,0,1,0,1,0,1
81,0,1,0,0,0,0,0,1,0,1
82,0,0,1,0,0,1,0,1,0,1
83,0,1,1,0,0,0,0,1,0,1
84,0,0,0,0,0,1,0,1,0,1
85,0,1,0,1,0,0,0,1,0,1
86,0,0,1,0,0,1,0,1,0,1
87,0,1,1,1,0,0,0,1,0,1
88,0,0,0,0,1,1,1,1,0,1
89,0,1,0,0,1,0,1,1,0,1
90,0,0,1,0,1,1,1,1,0,1
91,0,1,1,0,1,0,1,1,0,1
92,0,0,0,0,1,1,1,1,0,1
93,0,1,0,1,1,0,1,1,0,1
94,0,0,1,0,1,1,1,1,0,1
95,0,1,1,1,1,0,1,1,0,1
96,1,0,0,0,0,0,1,1,0,1
97,1,1,0,0,0,1,1,1,0,1
98,1,0,1,0,0,0,1,1,0,1
99,1,1,1,0,0,1,1,1,0,1
100,1,0,0,0,0,0,1,1,0,1
101,1,1,0,1,0,1,1,1,0,1
102,1,0,1,0,0,0,1,1,0,1
103,1,1,1,1,0,1,1,1,0,1
104,1,0,0,0,1,0,1,1,0,1
105,1,1,0,0,1,1,1,1,0,1
106,1,0,1,0,1,0,1,1,0,1
107,1,1,1,0,1,1,1,1,0,1
108,1,0,0,0,1,0,1,1,0,1
109,1,1,0,1,1,1,1,1,0,1
110,1,0,1,0,1,0,1,1,0,1
111,1,1,1,1,1,1,1,1,0,1
112,1,0,0,0,0,1,1,1,0,1
113,1,1,0,0,0,0,1,1,0,1
114,1,0,1,0,0,1,1,1,0,1
115,1,1,1,0,0,0,1,1,0,1
116,1,0,0,0,0,1,1,1,0,1
117,1,1,0,1,0,0,1,1,0,1
118,1,0,1,0,0,1,1,1,0,1
119,1,1,1,1,0,0,1,1,0,1
120,1,0,0,0,1,1,1,1,0,1
121,1,1,0,0,1,0,1,1,0,1
122,1,0,1,0,1,1,1,1,0,1
123,1,1,1,0,1,0,1,1,0,1
124,1,0,0,0,1,1,1,1,0,1
125,1,1,0,1,1,0,1,1,0,1
126,1,0,1,0,1,1,1,1,0,1
127,1,1,1,1,1,0,1,1,0,1
128,1,0,0,0,0,0,0,0,1,0
129,1,1,0,0,0,1,0,0,1,0
130,1,0,1,0,0,0,0,0,1,0
131,1,1,1,0,0,1,0,0,1,0
132,1,0,0,0,0,0,0,0,1,0
133,1,1,0,1,0,1,0,0,1,0
134,1,0,1,0,0,0,0,0,1,0
135,1,1,1,1,0,1,0,0,1,0
136,1,0,0,0,1,0,1,0,1,0
137,1,1,0,0,1,1,1,0,1,0
138,1,0,1,0,1,0,1,0,1,0
139,1,1,1,0,1,1,1,0,1,0
140,1,0,0,0,1,0,1,0,1,0
141,1,1,0,1,1,1,1,0,1,0
142,1,0,1,0,1,0,1,0,1,0
143,1,1,1,1,1,1,1,0,1,0
144,1,0,0,0,0,1,0,0,1,0
145,1,1,0,0,0,0,0,0,1,0
146,1,0,1,0,0,1,0,0,1,0
147,1,1,1,0,0,0,0,0,1,0
148,1,0,0,0,0,1,0,0,1,0
149,1,1,0,1,0,0,0,0,1,0
150,1,0,1,0,0,1,0,0,1,0
151,1,1,1,1,0,0,0,0,1,0
152,1,0,0,0,1,1,1,0,1,0
153,1,1,0,0,1,0,1,0,1,0
154,1,0,1,0,1,1,1,0,1,0
155,1,1,1,0,1,0,1,0,1,0
156,1,0,0,0,1,1,1,0,1,0
157,1,1,0,1,1,0,1,0,1,0
158,1,0,1,0,1,1,1,0,1,0
159,1,1,1,1,1,0,1,0,1,0
160,0,0,0,0,0,0,1,0,1,0
161,0,1,0,0,0,1,1,0,1,0
162,0,0,1,0,0,0,1,0,1,0
163,0,1,1,0,0,1,1,0,1,0
164,0,0,0,0,0,0,1,0,1,0
165,0,1,0,1,0,1,1,0,1,0
166,0,0,1,0,0,0,1,0,1,0
167,0,1,1,1,0,1,1,0,1,0
168,0,0,0,0,1,0,1,0,1,0
169,0,1,0,0,1,1,1,0,1,0
170,0,0,1,0,1,0,1,0,1,0
171,0,1,1,0,1,1,1,0,1,0
172,0,0,0,0,1,0,1,0,1,0
173,0,1,0,1,1,1,1,0,1,0
174,0,0,1,0,1,0,1,0,1,0
175,0,1,1,1,1,1,1,0,1,0
176,0,0,0,0,0,1,1,0,1,0
177,0,1,0,0,0,0,1,0,1,0
178,0,0,1,0,0,1,1,0,1,0
179,0,1,1,0,0,0,1,0,1,0
180,0,0,0,0,0,1,1,0,1,0
181,0,1,0,1,0,0,1,0,1,0
182,0,0,1,0,0,1,1,0,1,0
183,0,1,1,1,0,0,1,0,1,0
184,0,0,0,0,1,1,1,0,1,0
185,0,1,0,0,1,0,1,0,1,0
186,0,0,1,0,1,1,1,0,1,0
187,0,1,1,0,1,0,1,0,1,0
188,0,0,0,0,1,1,1,0,1,0
189,0,1,0,1,1,0,1,0,1,0
190,0,0,1,0,1,1,1,0,1,0
191,0,1,1,1,1,0,1,0,1,0
192,1,0,0,0,0,0,0,1,1,1
193,1,1,0,0,0,1,0,1,1,1
194,1,0,1,0,0,0,0,1,1,1
195,1,1,1,0,0,1,0,1,1,1
196,1,0,0,0,0,0,0,1,1,1
197,1,1,0,1,0,1,0,1,1,1
198,1,0,1,0,0,0,0,1,1,1
199,1,1,1,1,0,1,0,1,1,1
200,1,0,0,0,1,0,1,1,1,1
201,1,1,0,0,1,1,1,1,1,1
202,1,0,1,0,1,0,1,1,1,1
203,1,1,1,0,1,1,1,1,1,1
204,1,0,0,0,1,0,1,1,1,1
205,1,1,0,1,1,1,1,1,1,1
206,1,0,1,0,1,0,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1
208,1,0,0,0,0,1,0,1,1,1
209,1,1,0,0,0,0,0,1,1,1
210,1,0,1,0,0,1,0,1,1,1
211,1,1,1,0,0,0,0,1,1,1
212,1,0,0,0,0,1,0,1,1,1
213,1,1,0,1,0,0,0,1,1,1
214,1,0,1,0,0,1,0,1,1,1
215,1,1,1,1,0,0,0,1,1,1
216,1,0,0,0,1,1,1,1,1,1
217,1,1,0,0,1,0,1,1,1,1
218,1,0,1,0,1,1,1,1,1,1
219,1,1,1,0,1,0,1,1,1,1
220,1,0,0,0,1,1,1,1,1,1
221,1,1,0,1,1,0,1,1,1,1
222,1,0,1,0,1,1,1,1,1,1
223,1,1,1,1,1,0,1,1,1,1
224,0,0,0,0,0,0,1,1,1,1
225,0,1,0,0,0,1,1,1,1,1
226,0,0,1,0,0,0,1,1,1,1
227,0,1,1,0,0,1,1,1,1,1
228,0,0,0,0,0,0,1,1,1,1
229,0,1,0,1,0,1,1,1,1,1
230,0,0,1,0,0,0,1,1,1,1
231,0,1,1,1,0,1,1,1,1,1
232,0,0,0,0,1,0,1,1,1,1
233,0,1,0,0,1,1,1,1,1,1
234,0,0,1,0,1,0,1,1,1,1
235,0,1,1,0,1,1,1,1,1,1
236,0,0,0,0,1,0,1,1,1,1
237,0,1,0,1,1,1,1,1,1,1
238,0,0,1,0,1,0,1,1,1,1
239,0,1,1,1,1,1,1,1,1,1
240,0,0,0,0,0,1,1,1,1,1
241,0,1,0,0,0,0,1,1,1,1
242,0,0,1,0,0,1,1,1,1,1
243,0,1,1,0,0,0,1,1,1,1
244,0,0,0,0,0,1,1,1,1,1
245,0,1,0,1,0,0,1,1,1,1
246,0,0,1,0,0,1,1,1,1,1
247,0,1,1,1,0,0,1,1,1,1
248,0,0,0,0,1,1,1,1,1,1
249,0,1,0,0,1,0,1,1,1,1
250,0,0,1,0,1,1,1,1,1,1
251,0,1,1,0,1,0,1,1,1,1
252,0,0,0,0,1,1,1,1,1,1
253,0,1,0,1,1,0,1,1,1,1
254,0,0,1,0,1,1,1,1,1,1
255,0,1,1,1,1,0,1,1,1,1
256,0,0,0,0,0,0,0,0,0,1
257,0,1,0,0,0,1,0,0,0,1
258,0,0,1,0,0,0,0,0,0,1
259,0,1,1,0,0,1,0,0,0,1
260,0,0,0,0,0,0,0,0,0,1
261,0,1,0,1,0,1,0,0,0,1
262,0,0,1,0,0,0,0,0,0,1
263,0,1,1,1,0,1,0,0,0,1
264,0,0,0,0,1,0,1,0,0,1
265,0,1,0,0,1,1,1,0,0,1
266,0,0,1,0,1,0,1,0,0,1
267,0,1,1,0,1,1,1,0,0,1
268,0,0,0,0,1,0,1,0,0,1
269,0,1,0,1,1,1,1,0,0,1
270,0,0,1,0,1,0,1,0,0,1
271,0,1,1,1,1,1,1,0,0,1
272,0,0,0,0,0,1,0,0,0,1
273,0,1,0,0,0,0,0,0,0,1
274,0,0,1,0,0,1,0,0,0,1
275,0,1,1,0,0,0,0,0,0,1
276,0,0,0,0,0,1,0,0,0,1
277,0,1,0,1,0,0,0,0,0,1
278,0,0,1,0,0,1,0,0,0,1
279,0,1,1,1,0,0,0,0,0,1
280,0,0,0,0,1,1,1,0,0,1
281,0,1,0,0,1,0,1,0,0,1
282,0,0,1,0,1,1,1,0,0,1
283,0,1,1,0,1,0,1,0,0,1
284,0,0,0,0,1,1,1,0,0,1
285,0,1,0,1,1,0,1,0,0,1
286,0,0,1,0,1,1,1,0,0,1
287,0,1,1,1,1,0,1,0,0,1
288,1,0,0,0,0,0,1,0,0,1
289,1,1,0,0,0,1,1,0,0,1
290,1,0,1,0,0,0,1,0,0,1
291,1,1,1,0,0,1,1,0,0,1
292,1,0,0,0,0,0,1,0,0,1
293,1,1,0,1,0,1,1,0,0,1
294,1,0,1,0,0,0,1,0,0,1
295,1,1,1,1,0,1,1,0,0,1
296,1,0,0,0,1,0,1,0,0,1
297,1,1,0,0,1,1,1,0,0,1
298,1,0,1,0,1,0,1,0,0,1
299,1,1,1,0,1,1,1,0,0,1
300,1,0,0,0,1,0,1,0,0,1
301,1,1,0,1,1,1,1,0,0,1
302,1,0,1,0,1,0,1,0,0,1
303,1,1,1,1,1,1,1,0,0,1
304,1,0,0,0,0,1,1,0,0,1
305,1,1,0,0,0,0,1,0,0,1
306,1,0,1,0,0,1,1,0,0,1
307,1,1,1,0,0,0,1,0,0,1
308,1,0,0,0,0,1,1,0,0,1
309,1,1,0,1,0,0,1,0,0,1
310,1,0,1,0,0,1,1,0,0,1
311,1,1,1,1,0,0,1,0,0,1
312,1,0,0,0,1,1,1,0,0,1
313,1,1,0,0,1,0,1,0,0,1
314,1,0,1,0,1,1,1,0,0,1
315,1,1,1,0,1,0,1,0,0,1
316,1,0,0,0,1,1,1,0,0,1
317,1,1,0,1,1,0,1,0,0,1
318,1,0,1,0,1,1,1,0,0,1
319,1,1,1,1,1,0,1,0,0,1
320,0,0,0,0,0,0,0,1,0,1
321,0,1,0,0,0,1,0,1,0,1
322,0,0,1,0,0,0,0,1,0,1
323,0,1,1,0,0,1,0,1,0,1
324,0,0,0,0,0,0,0,1,0,1
325,0,1,0,1,0,1,0,1,0,1
326,0,0,1,0,0,0,0,1,0,1
327,0,1,1,1,0,1,0,1,0,1
328,0,0,0,0,1,0,1,1,0,1
329,0,1,0,0,1,1,1,1,0,1
330,0,0,1,0,1,0,1,1,0,1
331,0,1,1,0,1,1,1,1,0,1
332,0,0,0,0,1,0,1,1,0,1
333,0,1,0,1,1,1,1,1,0,1
334,0,0,1,0,1,0,1,1,0,1
335,0,1,1,1,1,1,1,1,0,1
336,0,0,0,0,0,1,0,1,0,1
337,0,1,0,0,0,0,0,1,0,1
338,0,0,1,0,0,1,0,1,0,1
339,0,1,1,0,0,0,0,1,0,1
340,0,0,0,0,0,1,0,1,0,1
341,0,1,0,1,0,0,0,1,0,1
342,0,0,1,0,0,1,0,1,0,1
343,0,1,1,1,0,0,0,1,0,1
344,0,0,0,0,1,1,1,1,0,1
345,0,1,0,0,1,0,1,1,0,1
346,0,0,1,0,1,1,1,1,0,1
347,0,1,1,0,1,0,1,1,0,1
348,0,0,0,0,1,1,1,1,0,1
349,0,1,0,1,1,0,1,1,0,1
350,0,0,1,0,1,1,1,1,0,1
351,0,1,1,1,1,0,1,1,0,1
352,1,0,0,0,0,0,1,1,0,1
353,1,1,0,0,0,1,1,1,0,1
354,1,0,1,0,0,0,1,1,0,1
355,1,1,1,0,0,1,1,1,0,1
356,1,0,0,0,0,0,1,1,0,1
357,1,1,0,1,0,1,1,1,0,1
358,1,0,1,0,0,0,1,1,0,1
359,1,1,1,1,0,1,1,1,0,1
360,1,0,0,0,1,0,1,1,0,1
361,1,1,0,0,1,1,1,1,0,1
362,1,0,1,0,1,0,1,1,0,1
363,1,1,1,0,1,1,1,1,0,1
364,1,0,0,0,1,0,1,1,0,1
365,1,1,0,1,1,1,1,1,0,1
366,1,0,1,0,1,0,1,1,0,1
367,1,1,1,1,1,1,1,1,0,1
368,1,0,0,0,0,1,1,1,0,1
369,1,1,0,0,0,0,1,1,0,1
370,1,0,1,0,0,1,1,1,0,1
371,1,1,1,0,0,0,1,1,0,1
372,1,0,0,0,0,1,1,1,0,1
373,1,1,0,1,0,0,1,1,0,1
374,1,0,1,0,0,1,1,1,0,1
375,1,1,1,1,0,0,1,1,0,1
376,1,0,0,0,1,1,1,1,0,1
377,1,1,0,0,1,0,1,1,0,1
378,1,0,1,0,1,1,1,1,0,1
379,1,1,1,0,1,0,1,1,0,1
380,1,0,0,0,1,1,1,1,0,1
381,1,1,0,1,1,0,1,1,0,1
382,1,0,1,0,1,1,1,1,0,1
383,1,1,1,1,1,0,1,1,0,1
384,1,0,0,0,0,0,0,0,1,1
385,1,1,0,0,0,1,0,0,1,1
386,1,0,1,0,0,0,0,0,1,1
387,1,1,1,0,0,1,0,0,1,1
388,1,0,0,0,0,0,0,0,1,1
389,1,1,0,1,0,1,0,0,1,1
390,1,0,1,0,0,0,0,0,1,1
391,1,1,1,1,0,1,0,0,1,1
392,1,0,0,0,1,0,1,0,1,1
393,1,1,0,0,1,1,1,0,1,1
394,1,0,1,0,1,0,1,0,1,1
395,1,1,1,0,1,1,1,0,1,1
396,1,0,0,0,1,0,1,0,1,1
397,1,1,0,1,1,1,1,0,1,1
398,1,0,1,0,1,0,1,0,1,1
399,1,1,1,1,1,1,1,0,1,1
400,1,0,0,0,0,1,0,0,1,1
401,1,1,0,0,0,0,0,0,1,1
402,1,0,1,0,0,1,0,0,1,1
403,1,1,1,0,0,0,0,0,1,1
404,1,0,0,0,0,1,0,0,1,1
405,1,1,0,1,0,0,0,0,1,1
406,1,0,1,0,0,1,0,0,1,1
407,1,1,1,1,0,0,0,0,1,1
408,1,0,0,0,1,1,1,0,1,1
409,1,1,0,0,1,0,1,0,1,1
410,1,0,1,0,1,1,1,0,1,1
411,1,1,1,0,1,0,1,0,1,1
412,1,0,0,0,1,1,1,0,1,1
413,1,1,0,1,1,0,1,0,1,1
414,1,0,1,0,1,1,1,0,1,1
415,1,1,1,1,1,0,1,0,1,1
416,0,0,0,0,0,0,1,0,1,1
417,0,1,0,0,0,1,1,0,1,1
418,0,0,1,0,0,0,1,0,1,1
419,0,1,1,0,0,1,1,0,1,1
420,0,0,0,0,0,0,1,0,1,1
421,0,1,0,1,0,1,1,0,1,1
422,0,0,1,0,0,0,1,0,1,1
423,0,1,1,1,0,1,1,0,1,1
424,0,0,0,0,1,0,1,0,1,1
425,0,1,0,0,1,1,1,0,1,1
426,0,0,1,0,1,0,1,0,1,1
427,0,1,1,0,1,1,1,0,1,1
428,0,0,0,0,1,0,1,0,1,1
429,0,1,0,1,1,1,1,0,1,1
430,0,0,1,0,1,0,1,0,1,1
431,0,1,1,1,1,1,1,0,1,1
432,0,0,0,0,0,1,1,0,1,1
433,0,1,0,0,0,0,1,0,1,1
434,0,0,1,0,0,1,1,0,1,1
435,0,1,1,0,0,0,1,0,1,1
436,0,0,0,0,0,1,1,0,1,1
437,0,1,0,1,0,0,1,0,1,1
438,0,0,1,0,0,1,1,0,1,1
439,0,1,1,1,0,0,1,0,1,1
440,0,0,0,0,1,1,1,0,1,1
441,0,1,0,0,1,0,1,0,1,1
442,0,0,1,0,1,1,1,0,1,1
443,0,1,1,0,1,0,1,0,1,1
444,0,0,0,0,1,1,1,0,1,1
445,0,1,0,1,1,0,1,0,1,1
446,0,0,1,0,1,1,1,0,1,1
447,0,1,1,1,1,0,1,0,1,1
448,1,0,0,0,0,0,0,1,1,1
449,1,1,0,0,0,1,0,1,1,1
450,1,0,1,0,0,0,0,1,1,1
451,1,1,1,0,0,1,0,1,1,1
452,1,0,0,0,0,0,0,1,1,1
453,1,1,0,1,0,1,0,1,1,1
454,1,0,1,0,0,0,0,1,1,1
455,1,1,1,1,0,1,0,1,1,1
456,1,0,0,0,1,0,1,1,1,1
457,1,1,0,0,1,1,1,1,1,1
458,1,0,1,0,1,0,1,1,1,1
459,1,1,1,0,1,1,1,1,1,1
460,1,0,0,0,1,0,1,1,1,1
461,1,1,0,1,1,1,1,1,1,1
462,1,0,1,0,1,0,1,1,1,1
463,1,1,1,1,1,1,1,1,1,1
464,1,0,0,0,0,1,0,1,1,1
465,1,1,0,0,0,0,0,1,1,1
466,1,0,1,0,0,1,0,1,1,1
467,1,1,1,0,0,0,0,1,1,1
468,1,0,0,0,0,1,0,1,1,1
469,1,1,0,1,0,0,0,1,1,1
470,1,0,1,0,0,1,0,1,1,1
471,1,1,1,1,0,0,0,1,1,1
472,1,0,0,0,1,1,1,1,1,1
473,1,1,0,0,1,0,1,1,1,1
474,1,0,1,0,1,1,1,1,1,1
475,1,1,1,0,1,0,1,1,1,1
476,1,0,0,0,1,1,1,1,1,1
477,1,1,0,1,1,0,1,1,1,1
478,1,0,1,0,1,1,1,1,1,1
479,1,1,1,1,1,0,1,1,1,1
480,0,0,0,0,0,0,1,1,1,1
481,0,1,0,0,0,1,1,1,1,1
482,0,0,1,0,0,0,1,1,1,1
483,0,1,1,0,0,1,1,1,1,1
484,0,0,0,0,0,0,1,1,1,1
485,0,1,0,1,0,1,1,1,1,1
486,0,0,1,0,0,0,1,1,1,1
487,0,1,1,1,0,1,1,1,1,1
488,0,0,0,0,1,0,1,1,1,1
489,0,1,0,0,1,1,1,1,1,1
490,0,0,1,0,1,0,1,1,1,1
491,0,1,1,0,1,1,1,1,1,1
492,0,0,0,0,1,0,1,1,1,1
493,0,1,0,1,1,1,1,1,1,1
494,0,0,1,0,1,0,1,1,1,1
495,0,1,1,1,1,1,1,1,1,1
496,0,0,0,0,0,1,1,1,1,1
497,0,1,0,0,0,0,1,1,1,1
498,0,0,1,0,0,1,1,1,1,1
499,0,1,1,0,0,0,1,1,1,1
500,0,0,0,0,0,1,1,1,1,1
501,0,1,0,1,0,0,1,1,1,1
502,0,0,1,0,0,1,1,1,1,1
503,0,1,1,1,0,0,1,1,1,1
504,0,0,0,0,1,1,1,1,1,1
505,0,1,0,0,1,0,1,1,1,1
506,0,0,1,0,1,1,1,1,1,1
507,0,1,1,0,1,0,1,1,1,1
508,0,0,0,0,1,1,1,1,1,1
509,0,1,0,1,1,0,1,1,1,1
510,0,0,1,0,1,1,1,1,1,1
511,0,1,1,1,1,0,1,1,1,1
512,1,0,0,0,0,0,0,0,0,0
513,1,1,0,0,0,1,0,0,0,0
514,1,0,1,0,0,0,0,0,0,0
515,1,1,1,0,0,1,0,0,0,0
516,1,0,0,0,0,0,0,0,0,0
517,1,1,0,1,0,1,0,0,0,0
518,1,0,1,0,0,0,0,0,0,0
519,1,1,1,1,0,1,0,0,0,0
520,1,0,0,0,1,0,1,0,0,0
521,1,1,0,0,1,1,1,0,0,0
522,1,0,1,0,1,0,1,0,0,0
523,1,1,1,0,1,1,1,0,0,0
524,1,0,0,0,1,0,1,0,0,0
525,1,1,0,1,1,1,1,0,0,0
526,1,0,1,0,1,0,1,0,0,0
527,1,1,1,1,1,1,1,0,0,0
528,1,0,0,0,0,1,0,0,0,0
529,1,1,0,0,0,0,0,0,0,0
530,1,0,1,0,0,1,0,0,0,0
531,1,1,1,0,0,0,0,0,0,0
532,1,0,0,0,0,1,0,0,0,0
533,1,1,0,1,0,0,0,0,0,0
534,1,0,1,0,0,1,0,0,0,0
535,1,1,1,1,0,0,0,0,0,0
536,1,0,0,0,1,1,1,0,0,0
537,1,1,0,0,1,0,1,0,0,0
538,1,0,1,0,1,1,1,0,0,0
539,1,1,1,0,1,0,1,0,0,0
540,1,0,0,0,1,1,1,0,0,0
541,1,1,0,1,1,0,1,0,0,0
542,1,0,1,0,1,1,1,0,0,0
543,1,1,1,1,1,0,1,0,0,0
