num_edges,positive,neutral,negative,total_nodes,pct_positive,pct_negative
4,19,112,4,135,14.1,3.0
5,172,353,15,540,31.9,2.8
6,549,1061,20,1630,33.7,1.2
7,1046,2251,38,3335,31.4,1.1
8,1957,3629,49,5635,34.7,0.9
9,2979,4320,86,7385,40.3,1.2
10,3277,4879,169,8325,39.4,2.0
11,2524,4693,228,7445,33.9,3.1
12,1563,3861,346,5770,27.1,6.0
13,697,2447,391,3535,19.7,11.1
14,237,1299,359,1895,12.5,18.9
15,48,473,249,770,6.2,32.3
16,7,140,158,305,2.3,51.8
17,0,25,55,80,0.0,68.8
18,0,13,12,25,0.0,48.0
19,0,5,0,5,0.0,0.0
20,0,5,0,5,0.0,0.0
