graph_id,num_edges,edges
1,4,"[(0, 4), (1, 4), (2, 4), (3, 4)]"
2,4,"[(0, 4), (1, 4), (2, 4), (4, 3)]"
3,4,"[(0, 4), (1, 4), (4, 2), (4, 3)]"
4,4,"[(0, 4), (4, 1), (4, 2), (4, 3)]"
5,4,"[(4, 0), (4, 1), (4, 2), (4, 3)]"
6,4,"[(0, 3), (0, 4), (1, 4), (2, 4)]"
7,4,"[(0, 3), (0, 4), (1, 4), (4, 2)]"
8,4,"[(0, 3), (0, 4), (4, 1), (4, 2)]"
9,4,"[(0, 3), (4, 0), (1, 4), (2, 4)]"
10,4,"[(0, 3), (4, 0), (1, 4), (4, 2)]"
11,4,"[(0, 3), (4, 0), (4, 1), (4, 2)]"
12,4,"[(3, 0), (0, 4), (1, 4), (2, 4)]"
13,4,"[(3, 0), (0, 4), (1, 4), (4, 2)]"
14,4,"[(3, 0), (0, 4), (4, 1), (4, 2)]"
15,4,"[(3, 0), (4, 0), (1, 4), (2, 4)]"
16,4,"[(3, 0), (4, 0), (1, 4), (4, 2)]"
17,4,"[(3, 0), (4, 0), (4, 1), (4, 2)]"
18,4,"[(0, 2), (0, 4), (1, 3), (1, 4)]"
19,4,"[(0, 2), (0, 4), (1, 3), (4, 1)]"
20,4,"[(0, 2), (0, 4), (3, 1), (1, 4)]"
21,4,"[(0, 2), (0, 4), (3, 1), (4, 1)]"
22,4,"[(0, 2), (4, 0), (1, 3), (4, 1)]"
23,4,"[(0, 2), (4, 0), (3, 1), (1, 4)]"
24,4,"[(0, 2), (4, 0), (3, 1), (4, 1)]"
25,4,"[(2, 0), (0, 4), (3, 1), (1, 4)]"
26,4,"[(2, 0), (0, 4), (3, 1), (4, 1)]"
27,4,"[(2, 0), (4, 0), (3, 1), (4, 1)]"
28,5,"[(0, 4), (4, 0), (1, 4), (2, 4), (3, 4)]"
29,5,"[(0, 4), (4, 0), (1, 4), (2, 4), (4, 3)]"
30,5,"[(0, 4), (4, 0), (1, 4), (4, 2), (4, 3)]"
31,5,"[(0, 4), (4, 0), (4, 1), (4, 2), (4, 3)]"
32,5,"[(0, 3), (0, 4), (1, 4), (4, 1), (2, 4)]"
33,5,"[(0, 3), (0, 4), (1, 4), (4, 1), (4, 2)]"
34,5,"[(0, 3), (4, 0), (1, 4), (4, 1), (2, 4)]"
35,5,"[(0, 3), (4, 0), (1, 4), (4, 1), (4, 2)]"
36,5,"[(0, 3), (0, 4), (4, 0), (1, 4), (2, 4)]"
37,5,"[(0, 3), (0, 4), (4, 0), (1, 4), (4, 2)]"
38,5,"[(0, 3), (0, 4), (4, 0), (4, 1), (4, 2)]"
39,5,"[(3, 0), (0, 4), (1, 4), (4, 1), (2, 4)]"
40,5,"[(3, 0), (0, 4), (1, 4), (4, 1), (4, 2)]"
41,5,"[(3, 0), (4, 0), (1, 4), (4, 1), (2, 4)]"
42,5,"[(3, 0), (4, 0), (1, 4), (4, 1), (4, 2)]"
43,5,"[(3, 0), (0, 4), (4, 0), (1, 4), (2, 4)]"
44,5,"[(3, 0), (0, 4), (4, 0), (1, 4), (4, 2)]"
45,5,"[(3, 0), (0, 4), (4, 0), (4, 1), (4, 2)]"
46,5,"[(0, 3), (3, 0), (0, 4), (1, 4), (2, 4)]"
47,5,"[(0, 3), (3, 0), (0, 4), (1, 4), (4, 2)]"
48,5,"[(0, 3), (3, 0), (0, 4), (4, 1), (4, 2)]"
49,5,"[(0, 3), (3, 0), (4, 0), (1, 4), (2, 4)]"
50,5,"[(0, 3), (3, 0), (4, 0), (1, 4), (4, 2)]"
51,5,"[(0, 3), (3, 0), (4, 0), (4, 1), (4, 2)]"
52,5,"[(0, 3), (0, 4), (1, 4), (2, 4), (3, 4)]"
53,5,"[(0, 3), (0, 4), (1, 4), (2, 4), (4, 3)]"
54,5,"[(0, 3), (0, 4), (1, 4), (4, 2), (3, 4)]"
55,5,"[(0, 3), (0, 4), (1, 4), (4, 2), (4, 3)]"
56,5,"[(0, 3), (0, 4), (4, 1), (4, 2), (3, 4)]"
57,5,"[(0, 3), (0, 4), (4, 1), (4, 2), (4, 3)]"
58,5,"[(0, 3), (4, 0), (1, 4), (2, 4), (3, 4)]"
59,5,"[(0, 3), (4, 0), (1, 4), (2, 4), (4, 3)]"
60,5,"[(0, 3), (4, 0), (1, 4), (4, 2), (3, 4)]"
61,5,"[(0, 3), (4, 0), (1, 4), (4, 2), (4, 3)]"
62,5,"[(0, 3), (4, 0), (4, 1), (4, 2), (3, 4)]"
63,5,"[(0, 3), (4, 0), (4, 1), (4, 2), (4, 3)]"
64,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4)]"
65,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (4, 2)]"
66,5,"[(0, 3), (0, 4), (1, 3), (4, 1), (2, 4)]"
67,5,"[(0, 3), (0, 4), (1, 3), (4, 1), (4, 2)]"
68,5,"[(0, 3), (0, 4), (3, 1), (1, 4), (2, 4)]"
69,5,"[(0, 3), (0, 4), (3, 1), (1, 4), (4, 2)]"
70,5,"[(0, 3), (0, 4), (3, 1), (4, 1), (2, 4)]"
71,5,"[(0, 3), (0, 4), (3, 1), (4, 1), (4, 2)]"
72,5,"[(0, 3), (4, 0), (1, 3), (4, 1), (2, 4)]"
73,5,"[(0, 3), (4, 0), (1, 3), (4, 1), (4, 2)]"
74,5,"[(0, 3), (4, 0), (3, 1), (1, 4), (2, 4)]"
75,5,"[(0, 3), (4, 0), (3, 1), (1, 4), (4, 2)]"
76,5,"[(0, 3), (4, 0), (3, 1), (4, 1), (2, 4)]"
77,5,"[(0, 3), (4, 0), (3, 1), (4, 1), (4, 2)]"
78,5,"[(3, 0), (0, 4), (3, 1), (1, 4), (2, 4)]"
79,5,"[(3, 0), (0, 4), (3, 1), (1, 4), (4, 2)]"
80,5,"[(3, 0), (0, 4), (3, 1), (4, 1), (2, 4)]"
81,5,"[(3, 0), (0, 4), (3, 1), (4, 1), (4, 2)]"
82,5,"[(3, 0), (4, 0), (3, 1), (4, 1), (2, 4)]"
83,5,"[(3, 0), (4, 0), (3, 1), (4, 1), (4, 2)]"
84,5,"[(0, 3), (0, 4), (1, 3), (2, 4), (3, 4)]"
85,5,"[(0, 3), (0, 4), (1, 3), (4, 2), (3, 4)]"
86,5,"[(0, 3), (0, 4), (1, 3), (4, 2), (4, 3)]"
87,5,"[(0, 3), (0, 4), (3, 1), (4, 2), (3, 4)]"
88,5,"[(0, 3), (4, 0), (1, 3), (2, 4), (3, 4)]"
89,5,"[(0, 3), (4, 0), (1, 3), (2, 4), (4, 3)]"
90,5,"[(0, 3), (4, 0), (1, 3), (4, 2), (3, 4)]"
91,5,"[(0, 3), (4, 0), (1, 3), (4, 2), (4, 3)]"
92,5,"[(0, 3), (4, 0), (3, 1), (2, 4), (3, 4)]"
93,5,"[(0, 3), (4, 0), (3, 1), (2, 4), (4, 3)]"
94,5,"[(0, 3), (4, 0), (3, 1), (4, 2), (3, 4)]"
95,5,"[(0, 3), (4, 0), (3, 1), (4, 2), (4, 3)]"
96,5,"[(3, 0), (4, 0), (1, 3), (2, 4), (3, 4)]"
97,5,"[(3, 0), (4, 0), (1, 3), (4, 2), (3, 4)]"
98,5,"[(3, 0), (4, 0), (1, 3), (4, 2), (4, 3)]"
99,5,"[(3, 0), (4, 0), (3, 1), (4, 2), (3, 4)]"
100,5,"[(0, 2), (0, 4), (3, 1), (1, 4), (4, 1)]"
101,5,"[(0, 2), (4, 0), (3, 1), (1, 4), (4, 1)]"
102,5,"[(0, 2), (0, 4), (4, 0), (1, 3), (1, 4)]"
103,5,"[(0, 2), (0, 4), (4, 0), (1, 3), (4, 1)]"
104,5,"[(0, 2), (0, 4), (4, 0), (3, 1), (1, 4)]"
105,5,"[(0, 2), (0, 4), (4, 0), (3, 1), (4, 1)]"
106,5,"[(2, 0), (0, 4), (4, 0), (3, 1), (1, 4)]"
107,5,"[(2, 0), (0, 4), (4, 0), (3, 1), (4, 1)]"
108,5,"[(0, 2), (2, 0), (0, 4), (1, 3), (1, 4)]"
109,5,"[(0, 2), (2, 0), (0, 4), (1, 3), (4, 1)]"
110,5,"[(0, 2), (2, 0), (0, 4), (3, 1), (1, 4)]"
111,5,"[(0, 2), (2, 0), (0, 4), (3, 1), (4, 1)]"
112,5,"[(0, 2), (2, 0), (4, 0), (1, 3), (1, 4)]"
113,5,"[(0, 2), (2, 0), (4, 0), (1, 3), (4, 1)]"
114,5,"[(0, 2), (2, 0), (4, 0), (3, 1), (1, 4)]"
115,5,"[(0, 2), (2, 0), (4, 0), (3, 1), (4, 1)]"
116,5,"[(0, 2), (0, 4), (1, 3), (1, 4), (2, 4)]"
117,5,"[(0, 2), (0, 4), (1, 3), (1, 4), (4, 2)]"
118,5,"[(0, 2), (0, 4), (1, 3), (4, 1), (2, 4)]"
119,5,"[(0, 2), (0, 4), (1, 3), (4, 1), (4, 2)]"
120,5,"[(0, 2), (0, 4), (3, 1), (1, 4), (2, 4)]"
121,5,"[(0, 2), (0, 4), (3, 1), (1, 4), (4, 2)]"
122,5,"[(0, 2), (0, 4), (3, 1), (4, 1), (2, 4)]"
123,5,"[(0, 2), (0, 4), (3, 1), (4, 1), (4, 2)]"
124,5,"[(0, 2), (4, 0), (1, 3), (1, 4), (2, 4)]"
125,5,"[(0, 2), (4, 0), (1, 3), (1, 4), (4, 2)]"
126,5,"[(0, 2), (4, 0), (1, 3), (4, 1), (2, 4)]"
127,5,"[(0, 2), (4, 0), (1, 3), (4, 1), (4, 2)]"
128,5,"[(0, 2), (4, 0), (3, 1), (1, 4), (2, 4)]"
129,5,"[(0, 2), (4, 0), (3, 1), (1, 4), (4, 2)]"
130,5,"[(0, 2), (4, 0), (3, 1), (4, 1), (2, 4)]"
131,5,"[(0, 2), (4, 0), (3, 1), (4, 1), (4, 2)]"
132,5,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 4)]"
133,5,"[(0, 2), (0, 3), (1, 3), (4, 1), (2, 4)]"
