graph_id,num_edges,positive_count,neutral_count,negative_count,max_delta,min_delta,mean_delta
1,4,1,4,0,3.74824390048688,-1.5094169603303733,0.4477653880313014
2,4,1,3,1,3.74824390048688,-2.5949904711064313,-0.42951305056342476
3,4,1,4,0,5.3986532415856665,0.0,1.6349240224128416
4,4,1,4,0,3.945158028262071,-1.3125028325551824,0.5265310391413778
5,4,1,4,0,5.2576608608172535,0.0,1.0515321721634507
6,4,3,2,0,5.197562169964421,0.0,2.684652308213548
7,4,3,2,0,5.197562169964421,0.0,3.032856645904233
8,4,0,5,0,1.8383000187566836,0.0,0.6297121919338672
9,4,1,4,0,2.760039115468132,0.0,1.1827556499607361
10,4,1,4,0,2.760039115468132,-0.2179351048808158,0.9384650142751141
11,4,1,4,0,2.661850201085773,0.0,1.1632251268863592
12,4,0,5,0,1.9096436694031027,0.0,0.7119012078767568
13,4,0,5,0,1.9096436694031027,-1.1700147931144969,0.7165867661240789
14,4,0,5,0,0.26797541541218095,-1.3581878337818232,-0.3124825700728344
15,4,0,5,0,1.9096436694031027,0.0,0.6725183823217187
16,4,0,5,0,1.9096436694031027,-1.068330550945845,0.33605169220525255
17,4,0,5,0,2.2723350271749645,0.0,0.9295160225398739
18,4,4,1,0,5.152762269782595,0.0,3.021368639423046
19,4,0,5,0,1.7935001185748582,-0.0037338459548443836,0.8539666843030453
20,4,0,4,1,1.7972339645297026,-3.355528305252893,-0.2929698661032731
21,4,0,5,0,1.7972339645297026,0.0,0.3609403312878783
22,4,1,4,0,2.617050300903948,0.0,1.3671254486843467
23,4,0,5,0,0.8839726179486327,-1.8312665973376738,-0.555712115345343
24,4,0,4,1,0.8839726179486327,-4.268789651833963,-1.206231212684343
25,4,0,5,0,0.8837575730241483,-1.7332927278797996,-0.366167279195453
26,4,0,5,0,0.8837575730241483,-0.9134763915055544,-0.05577586124766469
27,4,0,4,1,1.4794367904923114,-3.673325479290284,-0.6519568398672384
28,5,1,4,0,4.507417637905519,-0.7502432229117346,0.7514348829987568
29,5,1,4,0,4.507417637905519,-1.8358167336877926,0.29636844665653256
30,5,1,4,0,5.1022969733730505,0.0,1.3446583395565823
