graph_id,num_edges,node,delta,classification
1,4,4,3.74824390048688,positive
1,4,3,0.0,neutral
1,4,2,0.0,neutral
1,4,1,0.0,neutral
1,4,0,-1.5094169603303733,neutral
2,4,4,3.74824390048688,positive
2,4,3,0.0,neutral
2,4,2,-1.6504093410987863,neutral
2,4,1,-1.6504093410987863,neutral
2,4,0,-2.5949904711064313,negative
3,4,4,5.3986532415856665,positive
3,4,1,1.4534952133235954,neutral
3,4,0,1.3224716571549457,neutral
3,4,3,0.0,neutral
3,4,2,0.0,neutral
4,4,4,3.945158028262071,positive
4,4,3,0.0,neutral
4,4,2,0.0,neutral
4,4,1,0.0,neutral
4,4,0,-1.3125028325551824,neutral
5,4,4,5.2576608608172535,positive
5,4,3,0.0,neutral
5,4,2,0.0,neutral
5,4,1,0.0,neutral
5,4,0,0.0,neutral
6,4,4,5.197562169964421,positive
6,4,0,4.45738632255771,positive
6,4,3,3.7683130485456076,positive
6,4,2,0.0,neutral
6,4,1,0.0,neutral
7,4,4,5.197562169964421,positive
7,4,0,4.489555200902185,positive
7,4,1,3.359262151207737,positive
7,4,3,2.117903707446821,neutral
7,4,2,0.0,neutral
8,4,4,1.8383000187566836,neutral
8,4,0,1.0981241713499728,neutral
8,4,3,0.21213676956267946,neutral
8,4,2,0.0,neutral
8,4,1,0.0,neutral
9,4,4,2.760039115468132,positive
9,4,0,2.019863268061421,neutral
9,4,3,1.1338758662741277,neutral
9,4,2,0.0,neutral
9,4,1,0.0,neutral
10,4,4,2.760039115468132,positive
10,4,0,2.052032146405896,neutral
10,4,1,0.09818891438235866,neutral
10,4,2,0.0,neutral
10,4,3,-0.2179351048808158,neutral
11,4,4,2.661850201085773,positive
11,4,0,1.9216743536790624,neutral
11,4,3,1.23260107966696,neutral
11,4,2,0.0,neutral
11,4,1,0.0,neutral
12,4,4,1.9096436694031027,neutral
12,4,0,1.1694678219963919,neutral
12,4,3,0.4803945479842895,neutral
12,4,2,0.0,neutral
12,4,1,0.0,neutral
13,4,4,1.9096436694031027,neutral
13,4,1,1.6416682539909218,neutral
13,4,0,1.2016367003408668,neutral
13,4,2,0.0,neutral
13,4,3,-1.1700147931144969,neutral
14,4,4,0.26797541541218095,neutral
14,4,2,0.0,neutral
14,4,1,0.0,neutral
14,4,0,-0.4722004319945299,neutral
14,4,3,-1.3581878337818232,neutral
15,4,4,1.9096436694031027,neutral
15,4,0,1.1694678219963919,neutral
15,4,3,0.2834804202090986,neutral
15,4,2,0.0,neutral
15,4,1,0.0,neutral
16,4,4,1.9096436694031027,neutral
16,4,0,1.2016367003408668,neutral
16,4,2,0.0,neutral
16,4,1,-0.3626913577718618,neutral
16,4,3,-1.068330550945845,neutral
17,4,4,2.2723350271749645,neutral
17,4,0,1.5321591797682537,neutral
17,4,3,0.8430859057561513,neutral
17,4,2,0.0,neutral
17,4,1,0.0,neutral
18,4,4,5.152762269782595,positive
18,4,0,3.673325479290284,positive
18,4,1,3.355528305252893,positive
18,4,2,2.9252271427894563,positive
18,4,3,0.0,neutral
19,4,4,1.7935001185748582,neutral
19,4,2,1.5703246033445026,neutral
19,4,0,0.90974254555071,neutral
19,4,3,0.0,neutral
19,4,1,-0.0037338459548443836,neutral
20,4,4,1.7972339645297026,neutral
20,4,0,0.9132613465810699,neutral
20,4,1,0.0,neutral
20,4,2,-0.8198163363742452,neutral
20,4,3,-3.355528305252893,negative
21,4,4,1.7972339645297026,neutral
21,4,3,0.0037338459548443836,neutral
21,4,2,0.0037338459548443836,neutral
21,4,1,0.0,neutral
21,4,0,0.0,neutral
22,4,4,2.617050300903948,positive
22,4,0,1.7332927278797996,neutral
22,4,1,1.7330776829553152,neutral
22,4,2,0.7522065316826705,neutral
