element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,AcrR,AcrR,,2637.728639679221,2527.0085539173074,110.72008576191365,positive
vertex,Ada,Ada,,2637.728639679221,2501.0151480494715,136.71349162974957,positive
vertex,AlaS,AlaS,,2637.728639679221,2501.145098867115,136.5835408121061,positive
vertex,AllR,AllR,,2637.728639679221,2526.0330116928326,111.69562798638844,positive
vertex,AraC,AraC,,2637.728639679221,2526.4104965824845,111.31814309673655,positive
vertex,ArcA,ArcA,,2637.728639679221,2551.346133811218,86.38250586800314,positive
vertex,ArgP,ArgP,,2637.728639679221,2526.473064649458,111.2555750297629,positive
vertex,ArgR,ArgR,,2637.728639679221,2473.8836332982582,163.8450063809628,positive
vertex,AscG,AscG,,2637.728639679221,2553.1914966027075,84.53714307651353,positive
vertex,AtoC,AtoC,,2637.728639679221,2553.2983858376197,84.43025384160137,positive
vertex,BasR,BasR,,2637.728639679221,2553.2408329729124,84.48780670630867,positive
vertex,BetI,BetI,,2637.728639679221,2553.3240461642754,84.40459351494565,positive
vertex,BluR,BluR,,2637.728639679221,2552.952240867521,84.77639881169989,positive
vertex,BtsR,BtsR,,2637.728639679221,2581.1980960443775,56.530543634843525,positive
vertex,CRP,CRP,,2637.728639679221,2492.4225550448696,145.30608463435146,positive
vertex,CecR,CecR,,2637.728639679221,2579.289926014541,58.43871366468011,positive
vertex,CpxR,CpxR,,2637.728639679221,2578.789995906603,58.93864377261798,positive
vertex,Cra,Cra,,2637.728639679221,2602.1651056029373,35.56353407628376,positive
vertex,CsrA,CsrA,,2637.728639679221,2629.5603469248717,8.168292754349295,neutral
vertex,CueR,CueR,,2637.728639679221,2578.6703379011083,59.058301778112764,positive
vertex,CusR,CusR,,2637.728639679221,2604.976456474679,32.752183204542234,positive
vertex,CytR,CytR,,2637.728639679221,2629.4082759275566,8.320363751664445,neutral
vertex,DgoR,DgoR,,2637.728639679221,2604.154071159193,33.57456852002815,positive
vertex,DinJ-YafQ,DinJ-YafQ,,2637.728639679221,2579.4940596811816,58.23457999803941,positive
vertex,DnaA,DnaA,,2637.728639679221,2630.535637913336,7.193001765885128,neutral
vertex,FNR,FNR,,2637.728639679221,2650.7338657592845,-13.005226080063494,negative
vertex,FabR,FabR,,2637.728639679221,2680.133364135268,-42.404724456047006,negative
vertex,FadR,FadR,,2637.728639679221,2630.2482099980875,7.480429681133501,neutral
vertex,FeaR,FeaR,,2637.728639679221,2659.5283264727623,-21.79968679354124,negative
vertex,Fis,Fis,,2637.728639679221,2604.0631263890764,33.665513290144645,positive
vertex,FlhDC,FlhDC,,2637.728639679221,2580.8103969989966,56.918242680224466,positive
vertex,FliZ,FliZ,,2637.728639679221,2631.6438960885184,6.084743590702601,neutral
vertex,FrlR,FrlR,,2637.728639679221,2632.380809751687,5.347829927533894,neutral
vertex,Fur,Fur,,2637.728639679221,2629.028001848038,8.70063783118303,neutral
vertex,GadE,GadE,,2637.728639679221,2627.43003579091,10.298603888310936,positive
vertex,GadRcs,GadRcs,,2637.728639679221,2654.015915348095,-16.287275668873917,negative
vertex,GadX,GadX,,2637.728639679221,2654.178474869437,-16.449835190216163,negative
vertex,GalR,GalR,,2637.728639679221,2677.5301427799277,-39.80150310070667,negative
vertex,GcvA,GcvA,,2637.728639679221,2677.7817131305,-40.05307345127903,negative
vertex,GlaR,GlaR,,2637.728639679221,2654.0874898264246,-16.35885014720361,negative
vertex,GlpR,GlpR,,2637.728639679221,2704.6155035688203,-66.88686388959923,negative
vertex,GlrR,GlrR,,2637.728639679221,2704.9187640536084,-67.19012437438732,negative
vertex,GntR,GntR,,2637.728639679221,2704.878148035311,-67.14950835608988,negative
vertex,H-NS,H-NS,,2637.728639679221,2703.4431395457977,-65.71449986657672,negative
vertex,Hfq,Hfq,,2637.728639679221,2706.871831224454,-69.1431915452331,negative
vertex,HicB,HicB,,2637.728639679221,2706.79093719527,-69.06229751604906,negative
vertex,HprR,HprR,,2637.728639679221,2706.391595323358,-68.66295564413713,negative
vertex,IHF,IHF,,2637.728639679221,2651.032866685193,-13.304227005971825,negative
vertex,IlvY,IlvY,,2637.728639679221,2656.9267722852774,-19.198132606056333,negative
vertex,IscR,IscR,,2637.728639679221,2630.0257266158396,7.702913063381402,neutral
vertex,KdpE,KdpE,,2637.728639679221,2605.4459865295016,32.28265314971941,positive
vertex,LacI,LacI,,2637.728639679221,2581.312329533649,56.41631014557197,positive
vertex,LeuO,LeuO,,2637.728639679221,2605.9811598131014,31.747479866119647,positive
vertex,LexA,LexA,,2637.728639679221,2631.295981991029,6.432657688192194,neutral
