# RegulonDB 14.5 E. coli TF->gene network
# Confidence filter: C
# Downloaded: 2026-07-03
# Columns: tf_name	gene_name	function	confidence
AcrR	acrA	-	C
AcrR	acrB	-	C
AcrR	acrR	-	C
Ada	ada	-+	C
Ada	alkA	+	C
Ada	alkB	-+	C
AlaS	alaS	-	C
AllR	allA	-	C
AllR	allB	-	C
AllR	allS	-	C
AllR	allW	-	C
AllR	gcl	-	C
AllR	glxK	-	C
AllR	glxR	-	C
AllR	hyi	-	C
AllR	ybbY	-	C
AraC	araA	-+	C
AraC	araB	-+	C
AraC	araC	-+	C
AraC	araD	-+	C
AraC	araF	+	C
AraC	araH	+	C
ArcA	cyoA	-	C
ArcA	cyoB	-	C
ArcA	cyoC	-	C
ArcA	cyoD	-	C
ArcA	cyoE	-	C
ArcA	fadA	-	C
ArcA	fadB	-	C
ArcA	fadD	-	C
ArcA	fadE	-	C
ArcA	glcA	-	C
ArcA	glcB	-	C
ArcA	glcC	-	C
ArcA	glcD	-	C
ArcA	glcE	-	C
ArcA	glcF	-	C
ArcA	glcG	-	C
ArcA	gltA	-	C
ArcA	icd	-	C
ArcA	lldD	-	C
ArcA	nuoA	-	C
ArcA	nuoB	-	C
ArcA	nuoC	-	C
ArcA	nuoE	-	C
ArcA	nuoF	-	C
ArcA	nuoG	-	C
ArcA	nuoH	-	C
ArcA	nuoI	-	C
ArcA	nuoJ	-	C
ArcA	nuoK	-	C
ArcA	nuoL	-	C
ArcA	nuoM	-	C
ArcA	nuoN	-	C
ArcA	sroD	-	C
ArgP	argO	+	C
ArgP	dapB	+	C
ArgP	gdhA	+	C
ArgP	lysP	+	C
ArgR	argA	-	C
ArgR	argB	-	C
ArgR	argC	-	C
ArgR	argE	-	C
ArgR	argF	-	C
ArgR	argH	-	C
ArgR	argI	-	C
ArgR	argR	-	C
ArgR	artI	-	C
ArgR	artJ	-	C
ArgR	artM	-	C
ArgR	artP	-	C
ArgR	artQ	-	C
ArgR	astA	+	C
ArgR	astC	+	C
ArgR	carA	-	C
ArgR	carB	-	C
ArgR	hisJ	-	C
ArgR	hisM	-	C
ArgR	hisP	-	C
ArgR	hisQ	-	C
ArgR	lysO	-	C
ArgR	yhcC	-	C
AscG	ascB	-	C
AscG	ascF	-	C
AscG	prpR	-	C
AtoC	atoA	+	C
AtoC	atoB	+	C
AtoC	atoD	+	C
AtoC	atoE	+	C
BasR	dgkA	+	C
BasR	eptA	+	C
BetI	betA	-	C
BetI	betB	-	C
BetI	betI	-	C
BetI	betT	-	C
BluR	ariR	-	C
BluR	ycgZ	-	C
BluR	ymgA	-	C
BluR	ymgC	-	C
BtsR	btsT	+	C
CRP	acs	+	C
CRP	actP	+	C
CRP	aer	+	C
CRP	araA	+	C
CRP	araB	+	C
CRP	araC	+	C
CRP	araD	+	C
CRP	araF	+	C
CRP	araG	+	C
CRP	araH	+	C
CRP	argG	+	C
CRP	bglB	+	C
CRP	bglF	+	C
CRP	bglG	+	C
CRP	cas3	+	C
CRP	cdd	-+	C
CRP	crp	-+	C
CRP	cspD	+	C
CRP	cspE	+	C
CRP	cyaR	+	C
CRP	cycA	+	C
CRP	deoA	-+	C
CRP	deoB	-+	C
CRP	deoC	-+	C
CRP	deoD	-+	C
CRP	dgoA	+	C
CRP	dgoD	+	C
CRP	dgoK	+	C
CRP	dgoR	+	C
CRP	dgoT	+	C
CRP	envZ	-+	C
CRP	epd	+	C
CRP	fbaA	+	C
CRP	focA	+	C
CRP	fucP	+	C
CRP	fucU	+	C
CRP	fumA	+	C
CRP	fumC	+	C
CRP	gatA	+	C
CRP	gatB	+	C
CRP	gatC	+	C
CRP	gatD	+	C
CRP	gatY	+	C
CRP	gatZ	+	C
CRP	gcd	-	C
CRP	gcvH	+	C
CRP	gcvP	+	C
CRP	gcvT	+	C
CRP	gltB	-	C
CRP	gltD	-	C
CRP	gltF	-	C
CRP	gntT	+	C
CRP	gpsA	+	C
CRP	guaA	+	C
CRP	guaB	+	C
CRP	hlyE	+	C
CRP	hpt	+	C
CRP	infB	-	C
CRP	lacY	-+	C
CRP	lamB	+	C
CRP	lsrA	+	C
CRP	lsrB	+	C
CRP	lsrC	+	C
CRP	lsrD	+	C
CRP	lsrF	+	C
CRP	lsrG	+	C
CRP	lsrK	+	C
CRP	lsrR	+	C
CRP	malE	+	C
CRP	malF	+	C
CRP	malG	+	C
CRP	malH	+	C
CRP	malI	-+	C
CRP	malK	+	C
CRP	malM	+	C
CRP	malX	+	C
CRP	malY	+	C
CRP	mazE	+	C
CRP	mazF	+	C
CRP	metY	-	C
CRP	mglA	+	C
CRP	mglB	+	C
CRP	mglC	+	C
CRP	nagA	-+	C
CRP	nagB	-+	C
CRP	nupG	-+	C
CRP	nusA	-	C
CRP	ompR	-+	C
CRP	paaA	+	C
CRP	paaB	+	C
CRP	paaC	+	C
CRP	paaD	+	C
CRP	paaE	+	C
CRP	paaF	+	C
CRP	paaG	+	C
CRP	paaH	+	C
CRP	paaI	+	C
CRP	paaJ	+	C
CRP	paaK	+	C
CRP	paaZ	+	C
CRP	pflB	+	C
CRP	pgk	+	C
CRP	pnp	-	C
CRP	prpB	+	C
CRP	prpC	+	C
CRP	prpD	+	C
