element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,0610010O12RIK,0610010O12RIK,,2618.79549844586,2660.7368371749694,-41.94133872910925,negative
vertex,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,,2618.79549844586,2660.724778775971,-41.92928033011094,negative
vertex,1110007C09RIK,1110007C09RIK,,2618.79549844586,2660.7381320340096,-41.94263358814942,negative
vertex,1110058L19RIK,1110058L19RIK,,2618.79549844586,2660.7112957579407,-41.915797312080485,negative
vertex,1110059E24RIK,1110059E24RIK,,2618.79549844586,2660.211625617013,-41.416127171152766,negative
vertex,1600014C10RIK,1600014C10RIK,,2618.79549844586,2660.2201426546753,-41.42464420881515,negative
vertex,1700097N02RIK,1700097N02RIK,,2618.79549844586,2660.5785941386503,-41.783095692790084,negative
vertex,1810020D17RIK,1810020D17RIK,,2618.79549844586,2660.230060200942,-41.43456175508163,negative
vertex,2010002N04RIK,2010002N04RIK,,2618.79549844586,2643.0952874856102,-24.299789039750067,negative
vertex,2010111I01RIK,2010111I01RIK,,2618.79549844586,2643.988070197078,-25.192571751217656,negative
vertex,2310016C08RIK,2310016C08RIK,,2618.79549844586,2644.5656635458067,-25.770165099946553,negative
vertex,2610019F03RIK,2610019F03RIK,,2618.79549844586,2644.4272173610398,-25.63171891517959,negative
vertex,5830443L24RIK,5830443L24RIK,,2618.79549844586,2643.790038042278,-24.99453959641778,negative
vertex,9530028C05,9530028C05,,2618.79549844586,2645.467334606321,-26.67183616046077,negative
vertex,A330049M08RIK,A330049M08RIK,,2618.79549844586,2646.5950923533,-27.799593907439885,negative
vertex,AAK1,AAK1,,2618.79549844586,2627.710396309019,-8.914897863158785,neutral
vertex,ACAT1,ACAT1,,2618.79549844586,2644.2339165715275,-25.43841812566734,negative
vertex,ACOT2,ACOT2,,2618.79549844586,2643.2658525126517,-24.470354066791515,negative
vertex,ACP5,ACP5,,2618.79549844586,2627.998438728625,-9.202940282764757,negative
vertex,ACSL4,ACSL4,,2618.79549844586,2627.61689796225,-8.821399516389647,neutral
vertex,ADAM9,ADAM9,,2618.79549844586,2628.636515909139,-9.841017463278604,negative
vertex,ADCY7,ADCY7,,2618.79549844586,2627.9058807208517,-9.11038227499148,neutral
vertex,ADH1,ADH1,,2618.79549844586,2627.9357836814197,-9.140285235559531,neutral
vertex,AES,AES,,2618.79549844586,2627.8205266278383,-9.025028181978087,neutral
vertex,AGFG1,AGFG1,,2618.79549844586,2627.9866900120587,-9.19119156619854,negative
vertex,AHCYL2,AHCYL2,,2618.79549844586,2628.1869510036404,-9.391452557780212,negative
vertex,AHR,AHR,,2618.79549844586,2628.747546497983,-9.952048052122791,negative
vertex,AI451617;TRIM30,AI451617;TRIM30,,2618.79549844586,2612.061652752241,6.73384569361906,neutral
vertex,AIM1,AIM1,,2618.79549844586,2627.991175528311,-9.195677082450857,negative
vertex,AKAP12,AKAP12,,2618.79549844586,2628.0341202584555,-9.238621812595284,negative
vertex,AKNA,AKNA,,2618.79549844586,2612.6038617194645,6.1916367263957,neutral
vertex,ALCAM,ALCAM,,2618.79549844586,2612.6254089584286,6.170089487431596,neutral
vertex,ANKMY2,ANKMY2,,2618.79549844586,2612.607849133627,6.187649312233134,neutral
vertex,ANP32A,ANP32A,,2618.79549844586,2612.4662340676095,6.3292643782506275,neutral
vertex,ANTXR2,ANTXR2,,2618.79549844586,2612.597212003141,6.198286442719109,neutral
vertex,APLP2,APLP2,,2618.79549844586,2612.904554263921,5.890944181939176,neutral
vertex,APOBEC1,APOBEC1,,2618.79549844586,2612.9706103573412,5.8248880885189465,neutral
vertex,APOBEC3,APOBEC3,,2618.79549844586,2595.0051439608455,23.790354485014632,positive
vertex,AREG,AREG,,2618.79549844586,2612.0861689968683,6.709329448991866,neutral
vertex,ARHGEF10,ARHGEF10,,2618.79549844586,2596.1267820109506,22.668716434909584,positive
vertex,ARHGEF3,ARHGEF3,,2618.79549844586,2611.719190975048,7.076307470812026,neutral
vertex,ARID5A,ARID5A,,2618.79549844586,2612.26737094793,6.5281274979302,neutral
vertex,ARID5B;LOC100044968,ARID5B;LOC100044968,,2618.79549844586,2596.1222578885063,22.673240557353893,positive
vertex,ARL4C;LOC632433,ARL4C;LOC632433,,2618.79549844586,2596.5806015818466,22.214896864013554,positive
vertex,ARMCX2,ARMCX2,,2618.79549844586,2596.70814141324,22.087357032620275,positive
vertex,ARRB1,ARRB1,,2618.79549844586,2596.6448610150105,22.150637430849656,positive
vertex,ARRB2,ARRB2,,2618.79549844586,2596.577943327315,22.21755511854508,positive
vertex,ASAP1,ASAP1,,2618.79549844586,2596.8191008259446,21.976397619915588,positive
vertex,ASNSD1,ASNSD1,,2618.79549844586,2596.8417407657876,21.953757680072613,positive
vertex,ATL3,ATL3,,2618.79549844586,2596.8432503784206,21.95224806743954,positive
vertex,ATM,ATM,,2618.79549844586,2580.7958411640425,37.99965728181769,positive
vertex,ATP10A,ATP10A,,2618.79549844586,2580.55749970191,38.23799874395036,positive
vertex,BAG3,BAG3,,2618.79549844586,2580.1995075875066,38.595990858353616,positive
vertex,BATF,BATF,,2618.79549844586,2577.3908735738837,41.404624871976466,positive
