element,delta,base_complexity,classification
RUNX1,873.8282457627774,10518.231909395967,positive
STAT4,820.2024420235921,10518.231909395967,positive
GATA3,758.2230509484962,10518.231909395967,positive
SP4,695.638647504793,10518.231909395967,positive
IRF2,599.8135261410007,10518.231909395967,positive
EGR2,586.7084743351206,10518.231909395967,positive
CREB1,553.7656498112538,10518.231909395967,positive
ZFP161,528.7916094504744,10518.231909395967,positive
SMAD2,339.54224214767055,10518.231909395967,positive
RELA,335.8980812030077,10518.231909395967,positive
STAT6,296.74489693716714,10518.231909395967,positive
IRF3,202.82116650613352,10518.231909395967,positive
EZH1,173.48944751332056,10518.231909395967,positive
NMI,172.8447341274241,10518.231909395967,positive
SMARCA4,155.30468143248982,10518.231909395967,positive
CBFB,120.22179436695296,10518.231909395967,positive
ETS2,116.65061025992509,10518.231909395967,positive
SATB1,56.856511831689204,10518.231909395967,positive
ETS1,53.46178913670883,10518.231909395967,positive
SP100,50.66649717822111,10518.231909395967,positive
STAT5B,47.4179324427987,10518.231909395967,positive
LRRFIP1,33.67185333564885,10518.231909395967,positive
NFKB1,15.340605701137974,10518.231909395967,positive
NR3C1,2.501837945643274,10518.231909395967,neutral
LEF1,0.8419316785093542,10518.231909395967,neutral
MAX,0.0,10518.231909395967,neutral
ID2,0.0,10518.231909395967,neutral
CHD7,-16.766490914831593,10518.231909395967,negative
TCFEB,-23.114419435985837,10518.231909395967,negative
TRP53,-43.66956056503295,10518.231909395967,negative
PHF21A,-122.44516304837452,10518.231909395967,negative
NCOA3,-123.46383923632311,10518.231909395967,negative
SAP18,-168.12879686765336,10518.231909395967,negative
EGR1,-295.896840337713,10518.231909395967,negative
NFIL3,-298.5761469812114,10518.231909395967,negative
TRIM24,-398.86419347292576,10518.231909395967,negative
TWSG1,-422.5413528100489,10518.231909395967,negative
KLF3;LOC100046855,-422.86150412933966,10518.231909395967,negative
ERC1,-423.0547870741957,10518.231909395967,negative
IGFBP4,-423.21005018957294,10518.231909395967,negative
TEC,-429.2743201311223,10518.231909395967,negative
FLT3L,-429.4693249271113,10518.231909395967,negative
MYB,-433.05963647270255,10518.231909395967,negative
LITAF,-441.577399196869,10518.231909395967,negative
RNFT1,-446.1773561994014,10518.231909395967,negative
SIAH1A,-447.86302352519306,10518.231909395967,negative
CD200,-449.0474834625875,10518.231909395967,negative
SLCO3A1,-449.72290800289557,10518.231909395967,negative
ITGB3BP,-449.9442145040539,10518.231909395967,negative
CLEC2I,-450.96238002069913,10518.231909395967,negative
OGFR,-450.96533913476014,10518.231909395967,negative
LBP,-451.3566188073746,10518.231909395967,negative
DYX1C1,-452.6034247352727,10518.231909395967,negative
RNF123,-452.90351486309555,10518.231909395967,negative
ANTXR2,-454.0304328471957,10518.231909395967,negative
CASP8,-454.572384592293,10518.231909395967,negative
PQLC3,-454.84673970462245,10518.231909395967,negative
ELL2,-455.46550406368624,10518.231909395967,negative
NSG2,-455.5347492340916,10518.231909395967,negative
NAMPT,-455.5412303396042,10518.231909395967,negative
2610019F03RIK,-455.90634709573715,10518.231909395967,negative
RCSD1,-456.095476169874,10518.231909395967,negative
TNFRSF9,-457.326564551704,10518.231909395967,negative
DZIP1,-458.04079210795135,10518.231909395967,negative
ARHGEF3,-458.3443619522059,10518.231909395967,negative
SYNE2,-458.96535911559477,10518.231909395967,negative
TRPS1,-460.4838937420882,10518.231909395967,negative
FNDC3A,-461.6281359657878,10518.231909395967,negative
DUSP22,-466.6864883740418,10518.231909395967,negative
PQLC1,-471.333034483494,10518.231909395967,negative
