element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,IRF1,IRF1,,9164.314972442447,6312.931662829387,2851.38330961306,positive
vertex,IRF2,IRF2,,9164.314972442447,6613.791940660803,2550.523031781644,positive
vertex,IRF4,IRF4,,9164.314972442447,6806.067303317225,2358.2476691252223,positive
vertex,IRF3,IRF3,,9164.314972442447,6994.767480886137,2169.547491556311,positive
vertex,IRF7,IRF7,,9164.314972442447,7076.981040682794,2087.3339317596538,positive
vertex,CD274,CD274,,9164.314972442447,7315.558408583438,1848.7565638590095,positive
vertex,BCL2A1A;BCL2A1B;BCL2A1D,BCL2A1A;BCL2A1B;BCL2A1D,,9164.314972442447,7315.8976267978605,1848.417345644587,positive
vertex,CCR5,CCR5,,9164.314972442447,7316.6042877553855,1847.710684687062,positive
vertex,BCL6,BCL6,,9164.314972442447,7318.106345252378,1846.2086271900698,positive
vertex,CCL4,CCL4,,9164.314972442447,7318.137848241377,1846.177124201071,positive
vertex,CASP4,CASP4,,9164.314972442447,7318.15282891103,1846.1621435314173,positive
vertex,APOBEC3,APOBEC3,,9164.314972442447,7320.945662651317,1843.36930979113,positive
vertex,ARHGEF10,ARHGEF10,,9164.314972442447,7322.541524038594,1841.7734484038538,positive
vertex,ARID5B;LOC100044968,ARID5B;LOC100044968,,9164.314972442447,7324.048712955646,1840.2662594868016,positive
vertex,ARHGEF3,ARHGEF3,,9164.314972442447,7324.4502575331,1839.8647149093476,positive
vertex,AREG,AREG,,9164.314972442447,7325.6659635792075,1838.64900886324,positive
vertex,AI451617;TRIM30,AI451617;TRIM30,,9164.314972442447,7327.363064746813,1836.9519076956349,positive
vertex,ANTXR2,ANTXR2,,9164.314972442447,7327.9073582904575,1836.40761415199,positive
vertex,ATP10A,ATP10A,,9164.314972442447,7328.037647029627,1836.2773254128206,positive
vertex,APLP2,APLP2,,9164.314972442447,7328.867732530021,1835.447239912426,positive
vertex,ATM,ATM,,9164.314972442447,7329.23002213961,1835.0849503028376,positive
vertex,APOBEC1,APOBEC1,,9164.314972442447,7329.597655974429,1834.717316468019,positive
vertex,BATF,BATF,,9164.314972442447,7332.716747154186,1831.5982252882613,positive
vertex,BIRC3,BIRC3,,9164.314972442447,7339.713769194639,1824.6012032478084,positive
vertex,BCL2L11,BCL2L11,,9164.314972442447,7341.477942840017,1822.8370296024304,positive
vertex,BCL3,BCL3,,9164.314972442447,7341.936379686152,1822.3785927562958,positive
vertex,BC006779,BC006779,,9164.314972442447,7343.153755273364,1821.161217169083,positive
vertex,CASP8,CASP8,,9164.314972442447,7343.64688508498,1820.6680873574678,positive
vertex,CD24A,CD24A,,9164.314972442447,7343.872099622203,1820.4428728202447,positive
vertex,CCDC88C,CCDC88C,,9164.314972442447,7344.272479325077,1820.0424931173702,positive
vertex,CD3G,CD3G,,9164.314972442447,7344.325673101866,1819.989299340581,positive
vertex,CCL1,CCL1,,9164.314972442447,7344.621024279086,1819.6939481633617,positive
vertex,CD160,CD160,,9164.314972442447,7345.103808731247,1819.2111637112002,positive
vertex,CCR8,CCR8,,9164.314972442447,7345.185863612344,1819.1291088301032,positive
vertex,CD200,CD200,,9164.314972442447,7345.189583535873,1819.1253889065747,positive
vertex,CCS,CCS,,9164.314972442447,7345.223464732213,1819.0915077102345,positive
vertex,5830443L24RIK,5830443L24RIK,,9164.314972442447,7347.123113522073,1817.1918589203742,positive
vertex,2010002N04RIK,2010002N04RIK,,9164.314972442447,7348.45073680233,1815.8642356401178,positive
vertex,1110059E24RIK,1110059E24RIK,,9164.314972442447,7349.450428028885,1814.8645444135627,positive
vertex,1600014C10RIK,1600014C10RIK,,9164.314972442447,7349.516533350959,1814.798439091488,positive
vertex,0610010O12RIK,0610010O12RIK,,9164.314972442447,7349.758748241485,1814.5562242009628,positive
vertex,1110058L19RIK,1110058L19RIK,,9164.314972442447,7349.877555625108,1814.43741681734,positive
vertex,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,,9164.314972442447,7349.985149770271,1814.3298226721763,positive
vertex,1110007C09RIK,1110007C09RIK,,9164.314972442447,7350.028551354527,1814.2864210879206,positive
vertex,9530028C05,9530028C05,,9164.314972442447,7350.087101023748,1814.2278714186996,positive
vertex,ARID5A,ARID5A,,9164.314972442447,7350.326345475252,1813.9886269671952,positive
vertex,A330049M08RIK,A330049M08RIK,,9164.314972442447,7350.927495785318,1813.3874766571298,positive
vertex,CDKN2D;GM4694,CDKN2D;GM4694,,9164.314972442447,7351.156747422987,1813.1582250194606,positive
vertex,AAK1,AAK1,,9164.314972442447,7351.301482156887,1813.0134902855607,positive
vertex,ACSL4,ACSL4,,9164.314972442447,7351.36253104402,1812.9524413984273,positive
vertex,2010111I01RIK,2010111I01RIK,,9164.314972442447,7351.585293822184,1812.7296786202633,positive
