element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,0610010O12RIK,0610010O12RIK,,1847.1926364470523,2608.484741243103,-761.2921047960508,negative
vertex,0610012G03RIK,0610012G03RIK,,1847.1926364470523,2608.6265517045144,-761.4339152574621,negative
vertex,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,,1847.1926364470523,2608.5419750728793,-761.3493386258269,negative
vertex,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,,1847.1926364470523,2608.546251438776,-761.3536149917236,negative
vertex,1110007C09RIK,1110007C09RIK,,1847.1926364470523,2608.3578938393744,-761.165257392322,negative
vertex,1110020P15RIK,1110020P15RIK,,1847.1926364470523,2608.3281233669527,-761.1354869199004,negative
vertex,1110020P15RIK;GM6293,1110020P15RIK;GM6293,,1847.1926364470523,2608.3281233669527,-761.1354869199004,negative
vertex,1110059E24RIK,1110059E24RIK,,1847.1926364470523,2608.5359040823446,-761.3432676352922,negative
vertex,1190002H23RIK,1190002H23RIK,,1847.1926364470523,2608.3534893423607,-761.1608528953084,negative
vertex,1190002N15RIK;LOC100044725,1190002N15RIK;LOC100044725,,1847.1926364470523,2608.349051753318,-761.1564153062654,negative
vertex,1600014C10RIK,1600014C10RIK,,1847.1926364470523,2608.1057317547516,-760.9130953076992,negative
vertex,1700097N02RIK,1700097N02RIK,,1847.1926364470523,2608.315080181957,-761.1224437349047,negative
vertex,1810007M14RIK,1810007M14RIK,,1847.1926364470523,2608.119235102688,-760.9265986556356,negative
vertex,1810020D17RIK,1810020D17RIK,,1847.1926364470523,2592.6215146035543,-745.4288781565019,negative
vertex,1810031K17RIK,1810031K17RIK,,1847.1926364470523,2593.695071544238,-746.5024350971858,negative
vertex,2010002N04RIK,2010002N04RIK,,1847.1926364470523,2592.3344227162693,-745.1417862692169,negative
vertex,2010003O02RIK,2010003O02RIK,,1847.1926364470523,2592.366528136931,-745.1738916898785,negative
vertex,2010109K11RIK,2010109K11RIK,,1847.1926364470523,2592.5492938894445,-745.3566574423921,negative
vertex,2010111I01RIK,2010111I01RIK,,1847.1926364470523,2592.3339070637007,-745.1412706166484,negative
vertex,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,,1847.1926364470523,2592.54148353172,-745.3488470846678,negative
vertex,2310004I24RIK,2310004I24RIK,,1847.1926364470523,2592.3232526511133,-745.130616204061,negative
vertex,2310016C08RIK,2310016C08RIK,,1847.1926364470523,2592.341064274779,-745.1484278277267,negative
vertex,2310061C15RIK,2310061C15RIK,,1847.1926364470523,2592.3291882313574,-745.1365517843051,negative
vertex,2610018G03RIK,2610018G03RIK,,1847.1926364470523,2592.1659866995165,-744.9733502524641,negative
vertex,2610019F03RIK,2610019F03RIK,,1847.1926364470523,2592.1434068575013,-744.950770410449,negative
vertex,2700029M09RIK,2700029M09RIK,,1847.1926364470523,2592.0630870362706,-744.8704505892183,negative
vertex,2810474O19RIK,2810474O19RIK,,1847.1926364470523,2592.2670756644206,-745.0744392173683,negative
vertex,2900092E17RIK,2900092E17RIK,,1847.1926364470523,2592.4375239465157,-745.2448874994634,negative
vertex,4930420K17RIK,4930420K17RIK,,1847.1926364470523,2592.5276850834903,-745.3350486364379,negative
vertex,4930583H14RIK,4930583H14RIK,,1847.1926364470523,2592.5794707640657,-745.3868343170134,negative
vertex,5033414D02RIK,5033414D02RIK,,1847.1926364470523,2592.2747549416204,-745.082118494568,negative
vertex,5133401N09RIK,5133401N09RIK,,1847.1926364470523,2591.9712991370006,-744.7786626899483,negative
vertex,5830443L24RIK,5830443L24RIK,,1847.1926364470523,2610.224060315667,-763.0314238686146,negative
vertex,6330442E10RIK,6330442E10RIK,,1847.1926364470523,2593.2448075824814,-746.052171135429,negative
vertex,A430005L14RIK,A430005L14RIK,,1847.1926364470523,2593.245379507105,-746.0527430600528,negative
vertex,A630072M18RIK,A630072M18RIK,,1847.1926364470523,2593.553516064711,-746.3608796176586,negative
vertex,A830007P12RIK,A830007P12RIK,,1847.1926364470523,2593.0344585965995,-745.8418221495472,negative
vertex,AAK1,AAK1,,1847.1926364470523,2593.4419393945986,-746.2493029475463,negative
vertex,ABCA1,ABCA1,,1847.1926364470523,2593.445596741259,-746.2529602942068,negative
vertex,ABCB1B,ABCB1B,,1847.1926364470523,2593.451287415739,-746.2586509686867,negative
vertex,ABCD3,ABCD3,,1847.1926364470523,2593.4576268224373,-746.264990375385,negative
