element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,0610010O12RIK,0610010O12RIK,,8525.516048543885,6920.935392048831,1604.5806564950535,positive
vertex,0610012G03RIK,0610012G03RIK,,8525.516048543885,6921.274781616186,1604.2412669276982,positive
vertex,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,,8525.516048543885,6921.180845305202,1604.3352032386829,positive
vertex,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,,8525.516048543885,6921.200468876743,1604.3155796671417,positive
vertex,1110007C09RIK,1110007C09RIK,,8525.516048543885,6921.246173509393,1604.2698750344916,positive
vertex,1110020P15RIK,1110020P15RIK,,8525.516048543885,6921.174698250648,1604.3413502932362,positive
vertex,1110020P15RIK;GM6293,1110020P15RIK;GM6293,,8525.516048543885,6921.174698250648,1604.3413502932362,positive
vertex,1110059E24RIK,1110059E24RIK,,8525.516048543885,6921.242293949433,1604.273754594452,positive
vertex,1190002H23RIK,1190002H23RIK,,8525.516048543885,6921.227569540151,1604.2884790037333,positive
vertex,1190002N15RIK;LOC100044725,1190002N15RIK;LOC100044725,,8525.516048543885,6921.2167011503225,1604.2993473935621,positive
vertex,1600014C10RIK,1600014C10RIK,,8525.516048543885,6921.245361658138,1604.2706868857467,positive
vertex,1700097N02RIK,1700097N02RIK,,8525.516048543885,6921.278457600772,1604.237590943113,positive
vertex,1810007M14RIK,1810007M14RIK,,8525.516048543885,6921.26705730636,1604.248991237525,positive
vertex,1810020D17RIK,1810020D17RIK,,8525.516048543885,6895.351247448209,1630.164801095676,positive
vertex,1810031K17RIK,1810031K17RIK,,8525.516048543885,6920.6270877812885,1604.888960762596,positive
vertex,2010002N04RIK,2010002N04RIK,,8525.516048543885,6926.4791452051895,1599.036903338695,positive
vertex,2010003O02RIK,2010003O02RIK,,8525.516048543885,6951.578527730878,1573.9375208130068,positive
vertex,2010109K11RIK,2010109K11RIK,,8525.516048543885,6952.0477676539085,1573.468280889976,positive
vertex,2010111I01RIK,2010111I01RIK,,8525.516048543885,6951.541263867879,1573.9747846760056,positive
vertex,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,,8525.516048543885,6952.064214859085,1573.4518336847996,positive
vertex,2310004I24RIK,2310004I24RIK,,8525.516048543885,6951.5501396619,1573.9659088819844,positive
vertex,2310016C08RIK,2310016C08RIK,,8525.516048543885,6951.592467097076,1573.9235814468084,positive
vertex,2310061C15RIK,2310061C15RIK,,8525.516048543885,6926.80181270242,1598.7142358414649,positive
vertex,2610018G03RIK,2610018G03RIK,,8525.516048543885,6927.7424293066,1597.773619237285,positive
vertex,2610019F03RIK,2610019F03RIK,,8525.516048543885,6927.723430594604,1597.7926179492806,positive
vertex,2700029M09RIK,2700029M09RIK,,8525.516048543885,6927.451714206208,1598.0643343376769,positive
vertex,2810474O19RIK,2810474O19RIK,,8525.516048543885,6927.79419246506,1597.7218560788242,positive
vertex,2900092E17RIK,2900092E17RIK,,8525.516048543885,6927.5779853364065,1597.938063207478,positive
