element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,0610012G03RIK,0610012G03RIK,,2426.8982019654795,2292.086724628087,134.81147733739272,positive
vertex,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,100041874;544988;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3194;GM8108;GM8206;LOC100036568;LOC671957,,2426.8982019654795,2292.0602700653,134.83793190017968,positive
vertex,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,100041874;B930046C15RIK;ENSMUSG00000063277;ENSMUSG00000068790;ENSMUSG00000072735;GM3020;GM3194;GM3703;GM8108;GM8206;LOC100036568;LOC100041530;LOC671957,,2426.8982019654795,2292.065028947138,134.8331730183413,positive
vertex,1110007C09RIK,1110007C09RIK,,2426.8982019654795,2292.0788325564176,134.8193694090619,positive
vertex,1110020P15RIK,1110020P15RIK,,2426.8982019654795,2292.0675555141484,134.83064645133118,positive
vertex,1110020P15RIK;GM6293,1110020P15RIK;GM6293,,2426.8982019654795,2292.0675555141484,134.83064645133118,positive
vertex,1110059E24RIK,1110059E24RIK,,2426.8982019654795,2292.040605530002,134.85759643547772,positive
vertex,1190002H23RIK,1190002H23RIK,,2426.8982019654795,2292.0369515432244,134.86125042225513,positive
vertex,1600014C10RIK,1600014C10RIK,,2426.8982019654795,2292.03671695819,134.8614850072895,positive
vertex,1700097N02RIK,1700097N02RIK,,2426.8982019654795,2292.0473600298697,134.85084193560988,positive
vertex,1810020D17RIK,1810020D17RIK,,2426.8982019654795,2291.912935755864,134.98526620961547,positive
vertex,1810031K17RIK,1810031K17RIK,,2426.8982019654795,2291.9664170193687,134.93178494611084,positive
vertex,2010002N04RIK,2010002N04RIK,,2426.8982019654795,2292.0245299291073,134.87367203637223,positive
vertex,2010111I01RIK,2010111I01RIK,,2426.8982019654795,2292.041262224692,134.8569397407873,positive
vertex,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,2010205A11RIK;GM10883;GM1420;GM7202;IGK;IGK-C;IGK-V28;LOC100047628,,2426.8982019654795,2292.0763625502223,134.82183941525727,positive
vertex,2310016C08RIK,2310016C08RIK,,2426.8982019654795,2292.068439507929,134.82976245755071,positive
vertex,2310061C15RIK,2310061C15RIK,,2426.8982019654795,2292.0517249920854,134.84647697339415,positive
vertex,2610018G03RIK,2610018G03RIK,,2426.8982019654795,2292.06828327436,134.82991869111947,positive
vertex,2610019F03RIK,2610019F03RIK,,2426.8982019654795,2292.02730635254,134.87089561293942,positive
vertex,2700029M09RIK,2700029M09RIK,,2426.8982019654795,2292.179437230972,134.71876473450766,positive
vertex,2810474O19RIK,2810474O19RIK,,2426.8982019654795,2292.117103221905,134.7810987435746,positive
vertex,2900092E17RIK,2900092E17RIK,,2426.8982019654795,2292.1617184311076,134.73648353437193,positive
vertex,3110043O21RIK,3110043O21RIK,,2426.8982019654795,2292.2638856240774,134.63431634140215,positive
vertex,4930420K17RIK,4930420K17RIK,,2426.8982019654795,2292.136778268291,134.76142369718855,positive
vertex,5033414D02RIK,5033414D02RIK,,2426.8982019654795,2293.133495951576,133.76470601390338,positive
vertex,5133401N09RIK,5133401N09RIK,,2426.8982019654795,2292.8930131653315,134.00518880014806,positive
vertex,5830443L24RIK,5830443L24RIK,,2426.8982019654795,2311.1872162578024,115.71098570767708,positive
vertex,6330442E10RIK,6330442E10RIK,,2426.8982019654795,2293.1530567204136,133.74514524506594,positive
vertex,9530028C05,9530028C05,,2426.8982019654795,2293.168788961975,133.7294130035043,positive
vertex,A330049M08RIK,A330049M08RIK,,2426.8982019654795,2293.160615059306,133.73758690617342,positive
vertex,A430005L14RIK,A430005L14RIK,,2426.8982019654795,2293.158026965754,133.7401749997257,positive
vertex,A630072M18RIK,A630072M18RIK,,2426.8982019654795,2293.3177435845682,133.5804583809113,positive
vertex,AAK1,AAK1,,2426.8982019654795,2293.118041516721,133.78016044875858,positive
vertex,ABCA1,ABCA1,,2426.8982019654795,2293.2178655614152,133.6803364040643,positive
vertex,ABCD3,ABCD3,,2426.8982019654795,2293.232714159902,133.6654878055774,positive
vertex,ABCG2,ABCG2,,2426.8982019654795,2293.2448772217485,133.653324743731,positive
vertex,ABLIM1,ABLIM1,,2426.8982019654795,2293.20676828044,133.69143368503956,positive
vertex,ACAT1,ACAT1,,2426.8982019654795,2311.070990196878,115.8272117686015,positive
vertex,ACO2,ACO2,,2426.8982019654795,2311.0829031119133,115.81529885356622,positive
vertex,ACOT2,ACOT2,,2426.8982019654795,2310.7239095169984,116.17429244848108,positive
vertex,ACP5,ACP5,,2426.8982019654795,2310.6783595574525,116.21984240802703,positive
vertex,ACSBG1,ACSBG1,,2426.8982019654795,2310.694544040575,116.20365792490475,positive
vertex,ACSF3,ACSF3,,2426.8982019654795,2310.7166238518034,116.1815781136761,positive
vertex,ACSL4,ACSL4,,2426.8982019654795,2310.8143315022485,116.08387046323105,positive
vertex,ACSL5,ACSL5,,2426.8982019654795,2310.805485507394,116.0927164580853,positive
vertex,ACSL6,ACSL6,,2426.8982019654795,2310.871484199329,116.02671776615034,positive
vertex,ACTN1,ACTN1,,2426.8982019654795,2310.960166291938,115.93803567354144,positive
vertex,ACVR2A,ACVR2A,,2426.8982019654795,2310.963855449418,115.9343465160614,positive
vertex,ADAM10,ADAM10,,2426.8982019654795,2310.876662557069,116.02153940841072,positive
vertex,ADAM19;LOC100045780,ADAM19;LOC100045780,,2426.8982019654795,2309.983020330053,116.9151816354265,positive
vertex,ADARB1,ADARB1,,2426.8982019654795,2310.9973188960807,115.90088306939879,positive
vertex,ADCY7,ADCY7,,2426.8982019654795,2310.982313544785,115.9158884206945,positive
vertex,ADH1,ADH1,,2426.8982019654795,2311.5581710594415,115.34003090603801,positive
vertex,AES,AES,,2426.8982019654795,2310.8721829193178,116.02601904616176,positive
vertex,AGPAT3,AGPAT3,,2426.8982019654795,2311.2923016578343,115.60590030764524,positive
vertex,AHCYL2,AHCYL2,,2426.8982019654795,2311.3073748897536,115.59082707572588,positive
vertex,AHNAK,AHNAK,,2426.8982019654795,2311.2812251032974,115.61697686218213,positive
vertex,AHR,AHR,,2426.8982019654795,2311.3071842800305,115.59101768544906,positive
vertex,AI451617;TRIM30,AI451617;TRIM30,,2426.8982019654795,2311.1748696166533,115.72333234882626,positive
vertex,AIM1,AIM1,,2426.8982019654795,2311.3254026062277,115.5727993592518,positive
vertex,AKNA,AKNA,,2426.8982019654795,2311.3184561552657,115.57974581021381,positive
vertex,ALCAM,ALCAM,,2426.8982019654795,2311.32115738711,115.57704457836962,positive
vertex,ALPK2,ALPK2,,2426.8982019654795,2311.3249597522386,115.57324221324097,positive
vertex,ANGPTL2,ANGPTL2,,2426.8982019654795,2311.344356533007,115.55384543247237,positive
vertex,ANGPTL4,ANGPTL4,,2426.8982019654795,2293.503484847752,133.3947171177274,positive
vertex,ANK,ANK,,2426.8982019654795,2294.0688401882157,132.82936177726378,positive
vertex,ANKRD44,ANKRD44,,2426.8982019654795,2293.827075338602,133.07112662687769,positive
vertex,ANP32A,ANP32A,,2426.8982019654795,2293.5932134592135,133.304988506266,positive
vertex,ANTXR2,ANTXR2,,2426.8982019654795,2293.8142060038113,133.08399596166828,positive
vertex,ANXA3,ANXA3,,2426.8982019654795,2293.871122113751,133.02707985172856,positive
vertex,APIP,APIP,,2426.8982019654795,2293.7494804071403,133.14872155833928,positive
vertex,APLP2,APLP2,,2426.8982019654795,2293.4359606897515,133.46224127572805,positive
vertex,APOBEC3,APOBEC3,,2426.8982019654795,2293.253915355997,133.6442866094826,positive
vertex,APOL9A;APOL9B,APOL9A;APOL9B,,2426.8982019654795,2293.1735307962,133.72467116927965,positive
vertex,APOOL,APOOL,,2426.8982019654795,2293.1237968510054,133.77440511447412,positive
vertex,AQP3,AQP3,,2426.8982019654795,2293.249809029927,133.6483929355527,positive
vertex,AREG,AREG,,2426.8982019654795,2293.3869461922886,133.5112557731909,positive
vertex,ARHGAP12,ARHGAP12,,2426.8982019654795,2293.240850161844,133.65735180363572,positive
vertex,ARHGAP18,ARHGAP18,,2426.8982019654795,2293.8135664872925,133.084635478187,positive
vertex,ARHGDIG,ARHGDIG,,2426.8982019654795,2294.0936120379274,132.80458992755212,positive
vertex,ARHGEF10,ARHGEF10,,2426.8982019654795,2293.21725870961,133.68094325586935,positive
vertex,ARHGEF3,ARHGEF3,,2426.8982019654795,2293.757585453899,133.14061651158045,positive
vertex,ARID5A,ARID5A,,2426.8982019654795,2293.7420083219217,133.1561936435578,positive
vertex,ARID5B;LOC100044968,ARID5B;LOC100044968,,2426.8982019654795,2293.5637174727794,133.33448449270008,positive
vertex,ARL4C;LOC632433,ARL4C;LOC632433,,2426.8982019654795,2293.3020122952703,133.59618967020924,positive
vertex,ARMCX2,ARMCX2,,2426.8982019654795,2294.3464117948533,132.5517901706262,positive
vertex,ARMCX4,ARMCX4,,2426.8982019654795,2294.3423089738635,132.55589299161602,positive
