element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,STAT3,STAT3,,9845.769200138247,7884.187020435329,1961.5821797029184,positive
vertex,STAT1,STAT1,,9845.769200138247,7892.9627536960215,1952.806446442226,positive
vertex,IRF4,IRF4,,9845.769200138247,9319.539833307586,526.2293668306611,positive
vertex,IRF9,IRF9,,9845.769200138247,9342.979806998046,502.78939314020135,positive
vertex,IRF8,IRF8,,9845.769200138247,9396.75817300869,449.011027129558,positive
vertex,STAT2,STAT2,,9845.769200138247,9406.525113411953,439.244086726294,positive
vertex,STAT5A,STAT5A,,9845.769200138247,9466.34184100313,379.4273591351175,positive
vertex,ZFP161,ZFP161,,9845.769200138247,9783.214178670403,62.5550214678442,positive
vertex,ZFP281,ZFP281,,9845.769200138247,9792.362759484133,53.406440654114704,positive
vertex,ZFP36,ZFP36,,9845.769200138247,9817.321723953266,28.447476184981497,positive
vertex,ZFP362,ZFP362,,9845.769200138247,9844.618354060724,1.1508460775239655,neutral
vertex,ZNRF1,ZNRF1,,9845.769200138247,9845.360729071625,0.4084710666229512,neutral
vertex,ZRSR1,ZRSR1,,9845.769200138247,9845.769200138247,0.0,neutral
vertex,ZUFSP,ZUFSP,,9845.769200138247,9845.769200138247,0.0,neutral
vertex,ZYX,ZYX,,9845.769200138247,9845.769200138247,0.0,neutral
vertex,ZFP703,ZFP703,,9845.769200138247,9846.076041934499,-0.30684179625131947,neutral
vertex,ZFP568,ZFP568,,9845.769200138247,9846.086258731471,-0.31705859322391916,neutral
vertex,ZFP36L2,ZFP36L2,,9845.769200138247,9846.166080209261,-0.3968800710135838,neutral
vertex,ZNRF2,ZNRF2,,9845.769200138247,9870.388888321688,-24.619688183440303,negative
vertex,STAT6,STAT6,,9845.769200138247,10092.642393866385,-246.87319372813727,negative
vertex,STAT5B,STAT5B,,9845.769200138247,10141.055989440532,-295.2867893022849,negative
vertex,SOCS1,SOCS1,,9845.769200138247,10211.566322937355,-365.79712279910746,negative
