artefact,status,note
"AOAC values (Table 4, row 1)",exact,5/6 to 2 dp; ClinTox within 0.2%
AOAC ordering,exact,FreeSolv < ESOL < BBBP < ClinTox < Lipophilicity < BACE
Theorem 1,verified,"numerically, 60 molecules"
PUMs and dichotomy scores,exact,"29/36, 24/36, 33/36"
Pearson correlations (Table 4),exact,"-0.84, -0.20, -0.81, -0.82"
Clustering and Silhouettes (Table 5),exact,all labels and all five scores
"Training scores (Tables 2, 3)",within noise,median cell difference 0.024; coverage audited in 4.6
"T-Hop dichotomy score, our runs",exact,"33/36, from our own training campaign"
"Correlation sign, our runs",reproduced,T-Hop r = -0.54 against a published -0.81
Index-set mirror: mechanism recovery,exact,"100% of ~25,000 atoms, index set and gate"
Index-set mirror: complexity ordering,exact,"same ascending order as BDM, closed form"
Index-set mirror: correlations,reproduced,D gives -0.80 / -0.81; path_surplus -0.91
