model,parents,k,n_patterns,structure_bits,parameter_bits,data_bits,model_bits,total_bits,bits_per_observation,n_free_parameters,n_errors,map_accuracy
cpt,WTI_CL,1,3,4.81,21.29,111.96,26.1,138.07,1.0078,6.0,,
cpt,WTI_CL+CPI,2,3,6.39,21.29,111.96,27.69,139.65,1.0193,6.0,,
cpt,WTI_Spot,1,3,4.81,21.29,116.4,26.1,142.5,1.0402,6.0,,
cpt,CPI+WTI_Spot,2,3,6.39,21.29,116.4,27.69,144.09,1.0517,6.0,,
cpt,Brent_BZ,1,3,4.81,21.29,126.28,26.1,152.38,1.1122,6.0,,
index-set,WTI_CL,1,3,4.81,4.75,144.07,9.56,153.63,1.1214,,31.0,0.7737
index-set,WTI_Spot,1,3,4.81,4.75,144.07,9.56,153.63,1.1214,,31.0,0.7737
index-set,WTI_CL+WTI_Spot,2,7,6.39,11.09,136.43,17.49,153.92,1.1235,,29.0,0.7883
index-set,Brent_BZ+WTI_Spot,2,7,6.39,11.09,136.43,17.49,153.92,1.1235,,29.0,0.7883
cpt,Brent_BZ+CPI,2,3,6.39,21.29,126.28,27.69,153.96,1.1238,6.0,,
index-set,Brent_BZ+CPI+WTI_Spot,3,7,7.13,11.09,136.43,18.22,154.66,1.1289,,29.0,0.7883
index-set,WTI_CL+CPI+WTI_Spot,3,7,7.13,11.09,136.43,18.22,154.66,1.1289,,29.0,0.7883
index-set,Ind_Prod+WTI_Spot,2,6,6.39,9.51,139.28,15.9,155.18,1.1327,,30.0,0.781
index-set,WTI_CL+Ind_Prod,2,6,6.39,9.51,139.28,15.9,155.18,1.1327,,30.0,0.781
index-set,USD_Idx+WTI_Spot,2,6,6.39,9.51,139.28,15.9,155.18,1.1327,,30.0,0.781
index-set,CPI+WTI_Spot,2,3,6.39,4.75,144.07,11.15,155.22,1.133,,31.0,0.7737
index-set,WTI_CL+CPI,2,3,6.39,4.75,144.07,11.15,155.22,1.133,,31.0,0.7737
index-set,WTI_CL+CPI+Ind_Prod,3,6,7.13,9.51,139.28,16.64,155.92,1.1381,,30.0,0.781
index-set,CPI+Ind_Prod+WTI_Spot,3,6,7.13,9.51,139.28,16.64,155.92,1.1381,,30.0,0.781
index-set,USD_Idx+CPI+WTI_Spot,3,6,7.13,9.51,139.28,16.64,155.92,1.1381,,30.0,0.781
index-set,WTI_CL+USD_Idx+WTI_Spot,3,12,7.13,19.02,130.55,26.15,156.7,1.1438,,27.0,0.8029
index-set,WTI_CL+Brent_BZ+USD_Idx,3,12,7.13,19.02,130.55,26.15,156.7,1.1438,,27.0,0.8029
index-set,WTI_CL+Brent_BZ,2,7,6.39,11.09,139.28,17.49,156.77,1.1443,,30.0,0.781
index-set,WTI_CL+Brent_BZ+CPI,3,7,7.13,11.09,139.28,18.22,157.51,1.1497,,30.0,0.781
index-set,USD_Idx+Ind_Prod+WTI_Spot,3,9,7.13,14.26,136.43,21.39,157.83,1.152,,29.0,0.7883
index-set,WTI_CL+Ind_Prod+WTI_Spot,3,11,7.13,17.43,133.52,24.56,158.09,1.1539,,28.0,0.7956
index-set,Brent_BZ+USD_Idx+WTI_Spot,3,13,7.13,20.6,130.55,27.73,158.28,1.1554,,27.0,0.8029
index-set,Brent_BZ+Ind_Prod+WTI_Spot,3,10,7.13,15.85,136.43,22.98,159.41,1.1636,,29.0,0.7883
index-set,WTI_CL+Fed_Funds+WTI_Spot,3,14,7.13,22.19,130.55,29.32,159.87,1.1669,,27.0,0.8029
index-set,WTI_CL+USD_Idx,2,6,6.39,9.51,144.07,15.9,159.97,1.1677,,31.0,0.7737
index-set,Brent_BZ+Fed_Funds+WTI_Spot,3,16,7.13,25.36,127.51,32.49,160.0,1.1679,,26.0,0.8102
cpt,Brent_BZ+Ind_Prod,2,4,6.39,28.39,125.36,34.78,160.15,1.169,8.0,,
index-set,WTI_CL+USD_Idx+Ind_Prod,3,9,7.13,14.26,139.28,21.39,160.68,1.1728,,30.0,0.781
index-set,WTI_CL+USD_Idx+CPI,3,6,7.13,9.51,144.07,16.64,160.71,1.1731,,31.0,0.7737
cpt,Brent_BZ+CPI+Ind_Prod,3,4,7.13,28.39,125.36,35.52,160.89,1.1743,8.0,,
index-set,USD_Idx+Fed_Funds+WTI_Spot,3,11,7.13,17.43,136.43,24.56,161.0,1.1752,,29.0,0.7883
index-set,WTI_CL+Brent_BZ+WTI_Spot,3,13,7.13,20.6,133.52,27.73,161.26,1.1771,,28.0,0.7956
index-set,WTI_CL+Brent_BZ+Fed_Funds,3,15,7.13,23.77,130.55,30.9,161.45,1.1785,,27.0,0.8029
cpt,WTI_CL+Ind_Prod,2,6,6.39,42.59,112.5,48.98,161.48,1.1787,12.0,,
index-set,WTI_CL+Fed_Funds,2,7,6.39,11.09,144.07,17.49,161.56,1.1792,,31.0,0.7737
index-set,Fed_Funds+WTI_Spot,2,7,6.39,11.09,144.07,17.49,161.56,1.1792,,31.0,0.7737
index-set,Brent_BZ,1,3,4.81,4.75,152.08,9.56,161.64,1.1799,,34.0,0.7518
cpt,Brent_BZ+USD_Idx,2,5,6.39,35.49,119.79,41.88,161.68,1.1801,10.0,,
cpt,WTI_CL+CPI+Ind_Prod,3,6,7.13,42.59,112.5,49.72,162.22,1.1841,12.0,,
index-set,WTI_CL+Fed_Funds+Ind_Prod,3,10,7.13,15.85,139.28,22.98,162.26,1.1844,,30.0,0.781
index-set,Fed_Funds+Ind_Prod+WTI_Spot,3,10,7.13,15.85,139.28,22.98,162.26,1.1844,,30.0,0.781
index-set,WTI_CL+Brent_BZ+Ind_Prod,3,10,7.13,15.85,139.28,22.98,162.26,1.1844,,30.0,0.781
index-set,WTI_CL+CPI+Fed_Funds,3,7,7.13,11.09,144.07,18.22,162.29,1.1846,,31.0,0.7737
index-set,CPI+Fed_Funds+WTI_Spot,3,7,7.13,11.09,144.07,18.22,162.29,1.1846,,31.0,0.7737
cpt,Brent_BZ+USD_Idx+CPI,3,5,7.13,35.49,119.79,42.62,162.41,1.1855,10.0,,
cpt,WTI_CL+USD_Idx,2,6,6.39,42.59,114.05,48.98,163.03,1.19,12.0,,
cpt,USD_Idx+WTI_Spot,2,6,6.39,42.59,114.16,48.98,163.14,1.1908,12.0,,
