parents,k,n,n_patterns,n_recurring,recurrence,contradiction,lookup_accuracy
WTI_CL+USD_Idx+WTI_Spot,3,137,12,10,0.9854,0.7,0.8029
WTI_CL+Brent_BZ+Fed_Funds,3,137,15,12,0.9781,0.75,0.8029
WTI_CL+Ind_Prod+WTI_Spot,3,137,11,8,0.9781,0.75,0.7956
Ind_Prod+WTI_Spot,2,137,6,5,0.9927,0.8,0.781
CPI+Ind_Prod+WTI_Spot,3,137,6,5,0.9927,0.8,0.781
USD_Idx+Fed_Funds+Ind_Prod,3,137,7,5,0.9854,0.8,0.6788
USD_Idx+Fed_Funds,2,137,5,5,1.0,0.8,0.6715
USD_Idx+CPI+Fed_Funds,3,137,5,5,1.0,0.8,0.6715
WTI_CL+Brent_BZ+WTI_Spot,3,137,13,12,0.9927,0.8333,0.7956
WTI_CL+WTI_Spot,2,137,7,6,0.9927,0.8333,0.7883
WTI_CL+CPI+WTI_Spot,3,137,7,6,0.9927,0.8333,0.7883
USD_Idx+Ind_Prod+WTI_Spot,3,137,9,8,0.9927,0.875,0.7883
Fed_Funds+Ind_Prod+WTI_Spot,3,137,10,8,0.9854,0.875,0.781
Brent_BZ+Ind_Prod+WTI_Spot,3,137,10,9,0.9927,0.8889,0.7883
Brent_BZ+USD_Idx+Fed_Funds,3,137,11,9,0.9854,0.8889,0.7591
WTI_CL+Brent_BZ+USD_Idx,3,137,12,10,0.9854,0.9,0.8029
WTI_CL+Fed_Funds+WTI_Spot,3,137,14,10,0.9708,0.9,0.8029
USD_Idx+Fed_Funds+WTI_Spot,3,137,11,11,1.0,0.9091,0.7883
WTI_CL+USD_Idx+Fed_Funds,3,137,11,11,1.0,0.9091,0.7737
Brent_BZ+Fed_Funds+WTI_Spot,3,137,16,13,0.9781,0.9231,0.8102
Brent_BZ+USD_Idx+WTI_Spot,3,137,13,11,0.9854,1.0,0.8029
Brent_BZ+WTI_Spot,2,137,7,7,1.0,1.0,0.7883
Brent_BZ+CPI+WTI_Spot,3,137,7,7,1.0,1.0,0.7883
WTI_CL+Brent_BZ,2,137,7,7,1.0,1.0,0.781
WTI_CL+Ind_Prod,2,137,6,4,0.9854,1.0,0.781
USD_Idx+WTI_Spot,2,137,6,6,1.0,1.0,0.781
WTI_CL+Brent_BZ+CPI,3,137,7,7,1.0,1.0,0.781
WTI_CL+Brent_BZ+Ind_Prod,3,137,10,8,0.9854,1.0,0.781
WTI_CL+USD_Idx+Ind_Prod,3,137,9,7,0.9854,1.0,0.781
WTI_CL+CPI+Ind_Prod,3,137,6,4,0.9854,1.0,0.781
WTI_CL+Fed_Funds+Ind_Prod,3,137,10,7,0.9781,1.0,0.781
USD_Idx+CPI+WTI_Spot,3,137,6,6,1.0,1.0,0.781
WTI_CL,1,137,3,3,1.0,1.0,0.7737
WTI_Spot,1,137,3,3,1.0,1.0,0.7737
WTI_CL+USD_Idx,2,137,6,6,1.0,1.0,0.7737
WTI_CL+CPI,2,137,3,3,1.0,1.0,0.7737
WTI_CL+Fed_Funds,2,137,7,7,1.0,1.0,0.7737
CPI+WTI_Spot,2,137,3,3,1.0,1.0,0.7737
Fed_Funds+WTI_Spot,2,137,7,7,1.0,1.0,0.7737
WTI_CL+USD_Idx+CPI,3,137,6,6,1.0,1.0,0.7737
WTI_CL+CPI+Fed_Funds,3,137,7,7,1.0,1.0,0.7737
CPI+Fed_Funds+WTI_Spot,3,137,7,7,1.0,1.0,0.7737
Brent_BZ+Fed_Funds,2,137,8,6,0.9854,1.0,0.7591
Brent_BZ+CPI+Fed_Funds,3,137,8,6,0.9854,1.0,0.7591
Brent_BZ+Fed_Funds+Ind_Prod,3,137,9,7,0.9854,1.0,0.7591
Brent_BZ,1,137,3,3,1.0,1.0,0.7518
Brent_BZ+USD_Idx,2,137,5,5,1.0,1.0,0.7518
Brent_BZ+CPI,2,137,3,3,1.0,1.0,0.7518
Brent_BZ+Ind_Prod,2,137,4,4,1.0,1.0,0.7518
Brent_BZ+USD_Idx+CPI,3,137,5,5,1.0,1.0,0.7518
Brent_BZ+USD_Idx+Ind_Prod,3,137,6,6,1.0,1.0,0.7518
Brent_BZ+CPI+Ind_Prod,3,137,4,4,1.0,1.0,0.7518
Fed_Funds+Ind_Prod,2,137,5,3,0.9854,1.0,0.6788
CPI+Fed_Funds+Ind_Prod,3,137,5,3,0.9854,1.0,0.6788
Fed_Funds,1,137,3,3,1.0,1.0,0.6715
CPI+Fed_Funds,2,137,3,3,1.0,1.0,0.6715
USD_Idx,1,137,2,2,1.0,1.0,0.6642
CPI,1,137,1,1,1.0,1.0,0.6642
Ind_Prod,1,137,2,2,1.0,1.0,0.6642
USD_Idx+CPI,2,137,2,2,1.0,1.0,0.6642
USD_Idx+Ind_Prod,2,137,3,3,1.0,1.0,0.6642
CPI+Ind_Prod,2,137,2,2,1.0,1.0,0.6642
USD_Idx+CPI+Ind_Prod,3,137,3,3,1.0,1.0,0.6642
