"Index","InputVector","OutputVector","TargetY5","TargetY6","HighlightedY5","HighlightedY6"
1,"000000","010100",0,0,0,0
2,"100000","110001",0,1,0,1
3,"010000","000100",0,0,0,0
4,"110000","100001",0,1,0,1
5,"001000","011101",0,1,0,1
6,"101000","111000",0,0,0,0
7,"011000","001101",0,1,0,1
8,"111000","101000",0,0,0,0
9,"000100","010100",0,0,0,0
10,"100100","110101",0,1,0,1
11,"010100","000111",1,1,1,1
12,"110100","100110",1,0,1,0
13,"001100","011101",0,1,0,1
14,"101100","111100",0,0,0,0
15,"011100","001110",1,0,1,0
16,"111100","101111",1,1,1,1
17,"000010","010100",0,0,0,0
18,"100010","110001",0,1,0,1
19,"010010","000100",0,0,0,0
20,"110010","100001",0,1,0,1
21,"001010","011101",0,1,0,1
22,"101010","111000",0,0,0,0
23,"011010","001101",0,1,0,1
24,"111010","101000",0,0,0,0
25,"000110","010100",0,0,0,0
26,"100110","110101",0,1,0,1
27,"010110","000111",1,1,1,1
28,"110110","100110",1,0,1,0
29,"001110","011101",0,1,0,1
30,"101110","111100",0,0,0,0
31,"011110","001110",1,0,1,0
32,"111110","101111",1,1,1,1
33,"000001","010100",0,0,0,0
34,"100001","110001",0,1,0,1
35,"010001","000100",0,0,0,0
36,"110001","100001",0,1,0,1
37,"001001","011101",0,1,0,1
38,"101001","111000",0,0,0,0
39,"011001","001101",0,1,0,1
40,"111001","101000",0,0,0,0
41,"000101","010100",0,0,0,0
42,"100101","110101",0,1,0,1
43,"010101","000111",1,1,1,1
44,"110101","100110",1,0,1,0
45,"001101","011101",0,1,0,1
46,"101101","111100",0,0,0,0
47,"011101","001110",1,0,1,0
48,"111101","101111",1,1,1,1
49,"000011","010100",0,0,0,0
50,"100011","110001",0,1,0,1
51,"010011","000100",0,0,0,0
52,"110011","100001",0,1,0,1
53,"001011","011101",0,1,0,1
54,"101011","111000",0,0,0,0
55,"011011","001101",0,1,0,1
56,"111011","101000",0,0,0,0
57,"000111","010100",0,0,0,0
58,"100111","110101",0,1,0,1
59,"010111","000111",1,1,1,1
60,"110111","100110",1,0,1,0
61,"001111","011101",0,1,0,1
62,"101111","111100",0,0,0,0
63,"011111","001110",1,0,1,0
64,"111111","101111",1,1,1,1
