"Index","InputVector","OutputVector","Y4","Y6","Y7","Y10"
141,"0011000100","0110111101",0,1,1,1
142,"1011000100","0110111001",0,1,1,1
217,"0001101100","0000111101",0,1,1,1
218,"1001101100","0100111001",0,1,1,1
397,"0011000110","0110111101",0,1,1,1
398,"1011000110","0110111101",0,1,1,1
473,"0001101110","0000111101",0,1,1,1
474,"1001101110","0100111101",0,1,1,1
653,"0011000101","0110111101",0,1,1,1
654,"1011000101","0110111001",0,1,1,1
729,"0001101101","0000111101",0,1,1,1
730,"1001101101","0100111001",0,1,1,1
909,"0011000111","0110111101",0,1,1,1
910,"1011000111","0110111101",0,1,1,1
985,"0001101111","0000111101",0,1,1,1
986,"1001101111","0100111101",0,1,1,1
