n,task,replicates,median_wall_time_seconds,max_wall_time_seconds,median_peak_memory_bytes,median_support_size,median_free_coordinates,median_overlap_multiplicity,median_support_assignments_count
30,T1_single,5,5.3750001825392246e-05,9.166699601337314e-05,4360,3,27,0,7
30,T2_small,5,0.00020795899035874754,0.0011484169954201207,12496,7,23,4,16
30,T3_medium,5,0.0004185840080026537,0.0033488749904790893,14744,10,20,13,9
60,T1_single,5,4.920799983665347e-05,7.379200542345643e-05,4176,3,57,0,7
60,T2_small,5,0.00016829099331516773,0.00023316600709222257,8912,5,55,5,10
60,T3_medium,5,0.0008308340038638562,0.0015968749939929694,34216,10,50,10,30
80,T1_single,5,8.749999688006938e-05,8.858300861902535e-05,7776,4,76,0,15
80,T2_small,5,0.00015854100638534874,0.0002836250059772283,7464,6,74,4,5
80,T3_medium,5,0.0004817500011995435,0.0006684159889118746,18592,10,70,10,22
200,T1_single,5,4.9583002692088485e-05,8.916700608097017e-05,4216,3,197,0,7
200,T2_small,5,0.00020154200319666415,0.000883917004102841,9032,6,194,3,10
200,T3_medium,5,0.0009102080075535923,0.0024559160083299503,35744,10,190,10,21
