Gene,Dependency
AKT1,0.11894035498574722
AKT1S1,-0.09828274633142949
AKT2,0.10397719461026017
AKT3,-0.06028436015240982
BRAF,0.10805143478941268
CCNE1,0.19764005901008688
CCNE2,0.09804902699745655
E2F1,0.12962096878142512
E2F2,0.041995896073732296
E2F3,0.22124755395734236
EGF,0.07190907527006332
EGFR,0.29398407577876723
EIF4A1,1.245994647314526
EIF4E,1.5208249446126836
EIF4G1,0.7195533904080555
ERBB2,0.32918197463552434
ERBB3,0.2789998181583132
FOXO3,0.35348501065839505
GRB2,0.8988953852356903
HRAS,0.06689966651720033
IGF1,0.009086507556962997
KRAS,0.5572412526302376
MAP2K1,0.11223879228711005
MAP2K2,0.11592913508050903
MAPK1,0.27334427016144136
MAPK3,0.12558572110375923
MTOR,1.1721361048651466
NRAS,0.2654395625062695
PIK3CA,0.48594087473214764
PIK3CB,0.1949756458669211
PIK3CD,0.16675282995058294
RAF1,0.21937800065060212
RB1,-0.24227529527665553
RPS6KB1,0.2705299261238386
RPS6KB2,0.04970219810812831
RPTOR,0.9143136812669759
SOS1,0.28670328383426036
SOS2,0.1015205718162269
TGFA,-0.028927078115551976
TSC1,0.031946295949275456
TSC2,0.08934025230531188
