threshold,project,n_pairs,mean_D_normal,mean_D_tumor,mean_Delta_D,std_Delta_D,t_test_vs0_t,t_test_vs0_p,corr_mutcount_delta_r,corr_mutcount_delta_p
0.5,TCGA-LIHC,5,107.95816923402549,62.512044981982754,-45.446124252042736,5.780698105197482,-17.57929947078559,6.149413315602436e-05,-0.9507165403564122,0.013036133861555086
0.5,TCGA-LUAD,5,107.95816923402549,68.3807319368724,-39.57743729715311,14.250123826906801,-6.21032078363909,0.003420746725154711,-0.963548779797111,0.008308316593883529
0.5,TCGA-COAD,5,107.95816923402549,74.45304013046794,-33.50512910355755,13.58641648409493,-5.514312501620041,0.00527837946728939,-0.9911686299647551,0.0009949467366123764
0.5,TCGA-BRCA,5,107.95816923402549,75.91256326806213,-32.04560596596336,11.658345206655126,-6.146339986498446,0.003553716604137237,-0.9356619283903194,0.01939990888540118
0.5,TCGA-HNSC,5,107.95816923402549,77.10209602828346,-30.856073205742042,9.205425601158527,-7.495175149540689,0.0016949873379141966,-0.9701638137965598,0.006158792513484769
0.5,TCGA-KIRP,5,107.95816923402549,78.36832947985744,-29.589839754168064,6.723182839979005,-9.841305034901012,0.0005978914194519778,-0.8122952913493529,0.09482531329072681
0.5,TCGA-KIRC,5,107.95816923402549,78.97931377538767,-28.97885545863783,12.338949956995457,-5.251556327037213,0.0062905310363576845,-0.9710419689531034,0.005889682980546728
0.5,TCGA-LUSC,5,107.95816923402549,79.5803172779475,-28.377851956077997,9.797618918365771,-6.476553799236759,0.0029290094443610833,-0.8784260977784166,0.049947268956186945
0.5,TCGA-PRAD,5,107.95816923402549,83.99787447201348,-23.960294762012012,15.096060862329766,-3.549061462946601,0.023818650199653922,-0.9750752249730397,0.004705982810910743
0.5,TCGA-THCA,5,107.95816923402549,84.15256370643377,-23.805605527591716,16.230038579700516,-3.279779770321536,0.030507060594332065,-0.9592778092188702,0.009804147301090239
1.0,TCGA-LIHC,5,107.95816923402549,77.05571885522102,-30.902450378804485,10.574910951422712,-6.534332065370675,0.0028340428009521364,-0.9065945314194372,0.03378407508295451
1.0,TCGA-LUAD,5,107.95816923402549,84.26461549763522,-23.693553736390278,15.018351020473197,-3.5277106461880723,0.024280605354003906,-0.9684033498689625,0.006710058675163188
1.0,TCGA-COAD,5,107.95816923402549,86.95571737011569,-21.002451863909798,11.586241390040286,-4.053334336900622,0.015433232942417604,-0.9784352717652979,0.0037891345147310347
1.0,TCGA-BRCA,5,107.95816923402549,90.11239283724531,-17.84577639678017,5.702768214322446,-6.997368231491908,0.002195221146466858,-0.942293373841175,0.016495937674906435
1.0,TCGA-KIRC,5,107.95816923402549,93.10592505476758,-14.8522441792579,5.629841451354988,-5.899034260592385,0.004131341414009083,-0.7808136983057223,0.11905103169024066
1.0,TCGA-KIRP,5,107.95816923402549,94.50962519780857,-13.448544036216921,8.709231765096098,-3.452871559108017,0.02598623242996179,-0.9750800852356819,0.004704609855617432
1.0,TCGA-LUSC,5,107.95816923402549,96.23010345243667,-11.728065781588825,5.779820653636371,-4.537295169482902,0.01051873785573578,-0.8955135988133216,0.03990222067807964
1.0,TCGA-HNSC,5,107.95816923402549,97.06656569487636,-10.891603539149127,7.560464149618075,-3.221279198677905,0.03224131017721497,-0.877565863631584,0.05047154611803144
1.0,TCGA-THCA,5,107.95816923402549,100.62875357813178,-7.329415655893717,15.19956923248106,-1.078258955320034,0.3416023397040308,-0.9954434838016086,0.0003689658591981356
1.0,TCGA-PRAD,5,107.95816923402549,103.00445349067073,-4.953715743354778,5.0225783460474185,-2.20541012606986,0.0920957062740596,-0.7722195110034276,0.12594570542112055
1.5,TCGA-LIHC,5,107.95816923402549,88.43681410788483,-19.521355126140662,6.813150021534862,-6.406886232798793,0.003048784566542338,-0.721401576116439,0.16895214479959011
1.5,TCGA-COAD,5,107.95816923402549,92.84721752203319,-15.110951711992291,14.981719340581936,-2.2553563088853803,0.08712695684531174,-0.9464392984328684,0.014759885370092016
1.5,TCGA-LUAD,5,107.95816923402549,95.84005245184946,-12.118116782176028,6.574555378629683,-4.121485229602606,0.014594761230379357,-0.6342373751137167,0.25045981169310777
1.5,TCGA-BRCA,5,107.95816923402549,97.32645178399197,-10.631717450033523,1.9508112304295755,-12.186336927438505,0.00026026139130183736,-0.8165117951851237,0.09170992944034095
1.5,TCGA-KIRC,5,107.95816923402549,97.45214066476962,-10.506028569255875,3.2930760409462954,-7.133814634799717,0.002041788476122409,-0.9840902548873096,0.00240319794589216
1.5,TCGA-LUSC,5,107.95816923402549,99.07335856849616,-8.884810665529324,2.303238922368856,-8.625696805655611,0.0009931827107635596,-0.9432422182837985,0.016093095898668003
1.5,TCGA-HNSC,5,107.95816923402549,100.2118919448699,-7.746277289155586,4.5098609339606375,-3.840739846473028,0.018447874716314625,-0.8961445027798468,0.03954523886620681
1.5,TCGA-KIRP,5,107.95816923402549,102.32570460323865,-5.632464630786839,5.292053490563905,-2.379902965410236,0.07599728710841637,-0.9593417887962894,0.009781146235996342
1.5,TCGA-THCA,5,107.95816923402549,104.41577625321456,-3.542392980810939,7.921031508111367,-1.0,0.37390096630005887,-1.0,0.0
1.5,TCGA-PRAD,5,107.95816923402549,105.51110323681826,-2.4470659972072326,4.196382068749013,-1.303934156980822,0.26223174677051214,-0.9236387599365461,0.025038325884576666
