group,name,n_nodes,n_edges,D_bio,D_random_mean,z_score,p_value,fold_reduction
evolved,ginsim_2015-mammal-bladder-tumorigenesis_Bladder_Model,30,79,150.0,154.875,1.3230858929834337,0.15,1.0325
human_designed,design_match_ginsim_2015-mammal-bladder-tumorigenesis_Bladder_Model,30,79,146.0,152.09166666666667,1.4493046213787721,0.11666666666666667,1.0417237442922374
evolved,pyboolnet_n6s1c2,6,18,47.0,47.0,0.0,1.0,1.0
human_designed,design_match_pyboolnet_n6s1c2,6,18,45.0,44.9,-0.05541321467201374,0.725,0.9977777777777778
evolved,ginsim_2019-mammal-tcell-specification,56,175,290.0,297.05,1.1821777974268572,0.15,1.0243103448275863
human_designed,design_match_ginsim_2019-mammal-tcell-specification,56,175,295.0,301.6666666666667,1.288446916053859,0.10833333333333334,1.0225988700564972
evolved,MODEL1506260002,45,94,142.0,188.84166666666667,8.787114863153283,0.0,1.3298708920187794
human_designed,design_match_MODEL1506260002,45,94,181.0,190.13333333333333,1.82975954119506,0.041666666666666664,1.0504604051565376
evolved,ginsim_default_dv_boundary_wing_disk_model,28,72,124.0,139.75,4.345344304718114,0.0,1.127016129032258
human_designed,design_match_ginsim_default_dv_boundary_wing_disk_model,28,72,134.0,143.39166666666668,2.2362211571407693,0.025,1.070087064676617
evolved,ginsim_2009-budding-yeast-morphogenetic-checkpoint_MCP_budding_yeast_CC,8,13,47.0,48.041666666666664,0.4298223653330131,0.35,1.0221631205673758
human_designed,design_match_ginsim_2009-budding-yeast-morphogenetic-checkpoint_MCP_budding_yeast_CC,8,13,47.0,49.06666666666667,0.8776026067667126,0.25,1.043971631205674
evolved,drosophila_sp,13,16,58.0,59.25,0.5094267081084933,0.35833333333333334,1.021551724137931
human_designed,design_match_drosophila_sp,13,16,59.0,58.74166666666667,-0.12543413371624315,0.625,0.9956214689265537
evolved,ginsim_2015-mammal-bladder-tumorigenesis,30,79,150.0,154.475,1.2443664634486755,0.16666666666666666,1.0298333333333334
human_designed,design_match_ginsim_2015-mammal-bladder-tumorigenesis,30,79,158.0,154.25,-0.9393364366277243,0.8083333333333333,0.9762658227848101
evolved,pyboolnet_interactiongraphs_topology,15,20,72.0,67.89166666666667,-1.5720180533742676,0.975,0.9429398148148148
human_designed,design_match_pyboolnet_interactiongraphs_topology,15,20,66.0,67.90833333333333,0.7890034114417103,0.31666666666666665,1.0289141414141414
evolved,ginsim_default_primary_sex_determination_2,25,50,112.0,116.18333333333334,1.208477822179706,0.15,1.0373511904761905
human_designed,design_match_ginsim_default_primary_sex_determination_2,25,50,122.0,116.65,-1.531020938560625,0.9666666666666667,0.9561475409836067
evolved,ginsim_default_ap_boundary,28,64,127.0,135.10833333333332,1.9706250806914085,0.016666666666666666,1.0638451443569552
human_designed,design_match_ginsim_default_ap_boundary,28,64,131.0,133.86666666666667,0.8703312266489689,0.225,1.021882951653944
