Gene,incoming_edges_removed_total,incoming_edges_removed_mean,fraction_nodes_changed_any,MappedGenes,DepMapDependency_mapped_max,DepMapDependency_mapped_mean
EGFR,43.0,0.43,0.59,EGFR,0.2939840757787672,0.2939840757787672
EGF,36.0,0.36,0.36,EGF,0.0719090752700633,0.0719090752700633
PI3K,20.0,0.2,0.37,"PIK3CA,PIK3CB,PIK3CD",0.4859408747321476,0.28255645018321723
Raf,19.0,0.19,0.33,"BRAF,RAF1",0.2193780006506021,0.16371471772000734
Ras,16.0,0.16,0.25,"KRAS,NRAS,HRAS",0.5572412526302376,0.29652682721790247
AKT,16.0,0.16,0.32,"AKT1,AKT2,AKT3",0.1189403549857472,0.054211063147865834
MEK,15.0,0.15,0.31,"MAP2K1,MAP2K2",0.115929135080509,0.1140839636838095
GRB2,13.0,0.13,0.31,GRB2,0.8988953852356903,0.8988953852356903
SOS,13.0,0.13,0.25,"SOS1,SOS2",0.2867032838342603,0.1941119278252436
ERK,13.0,0.13,0.24,"MAPK1,MAPK3",0.2733442701614413,0.19946499563260026
