name,n_nodes,n_edges,n_random,seconds
ginsim_default_g2a,5,12,25,0.09802641699934611
ginsim_default_g2a,5,12,50,0.19263854100063327
ginsim_default_g2a,5,12,100,0.37988475000020117
ginsim_2012-zebrafish-mir9-neurogenesis_zebra_miR9_22jul2011,6,11,25,0.04139220800061594
ginsim_2012-zebrafish-mir9-neurogenesis_zebra_miR9_22jul2011,6,11,50,0.08352341600038926
ginsim_2012-zebrafish-mir9-neurogenesis_zebra_miR9_22jul2011,6,11,100,0.164915707999171
ginsim_default_phenomenological_cellular,7,11,25,0.1338972500016098
ginsim_default_phenomenological_cellular,7,11,50,0.2640346670013969
ginsim_default_phenomenological_cellular,7,11,100,0.5340078329973039
pyboolnet_fileexchange_operatorbinding,8,15,25,0.1515860839972447
pyboolnet_fileexchange_operatorbinding,8,15,50,0.3034580419989652
pyboolnet_fileexchange_operatorbinding,8,15,100,0.6119973339991702
ginsim_2008-fission-yeast-cell-cycle_fissionYeastDavidich2008Modified,9,18,25,0.07600449999881675
ginsim_2008-fission-yeast-cell-cycle_fissionYeastDavidich2008Modified,9,18,50,0.1488000409990491
ginsim_2008-fission-yeast-cell-cycle_fissionYeastDavidich2008Modified,9,18,100,0.3009097499998461
ginsim_default_boolean_cell_cycle,10,34,25,0.09851858399997582
ginsim_default_boolean_cell_cycle,10,34,50,0.19229004199951305
ginsim_default_boolean_cell_cycle,10,34,100,0.39921358300125576
ginsim_default_ap-1_else-0_wt,10,16,25,0.042999792000046
ginsim_default_ap-1_else-0_wt,10,16,50,0.08637820800140616
ginsim_default_ap-1_else-0_wt,10,16,100,0.17088750000039
ginsim_2013-drosophila-toll_Toll_Pathway_12Jun2013,11,11,25,0.03683370900034788
ginsim_2013-drosophila-toll_Toll_Pathway_12Jun2013,11,11,50,0.07280620800156612
ginsim_2013-drosophila-toll_Toll_Pathway_12Jun2013,11,11,100,0.14546554099797504
ginsim_default_exit,12,22,25,0.06319404199894052
ginsim_default_exit,12,22,50,0.12478449999980512
ginsim_default_exit,12,22,100,0.2542744999991555
